Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL3235962,N#Cc1cccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)c1,7.08
CHEMBL3235983,C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,8.0
CHEMBL1650511,FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,9.38
CHEMBL2443068,O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(Cl)cccc21,6.64
CHEMBL3959823,Cc1cccc(CN(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,6.06
CHEMBL3944840,C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1,7.0
CHEMBL4644158,O=C(NCc1ccc(F)cc1)[C@@H]1Cc2c([nH]c3ccccc23)CN1,7.43
CHEMBL4649088,O=C1N[C@H](Cc2ccccc2)C(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]12,8.18
CHEMBL2443089,O=C(Nc1ccc(C(F)(F)F)cc1Cl)N1CCC2(CCc3cccc(Cl)c3O2)CC1,6.75
CHEMBL391997,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,4.75
CHEMBL3682545,CCOC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)F,8.33
CHEMBL3682546,Cc1cc2ccccc2nc1N(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(C(=O)O)cc1,8.3
CHEMBL3682562,Cc1c(N(Cc2ccc(OC3CC3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.46
CHEMBL3682573,Cc1c(N(Cc2ccc(-c3ccccc3)nc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.02
CHEMBL3682589,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1,9.05
CHEMBL3682604,Cc1c(N(Cc2nc3ccccc3o2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,6.71
CHEMBL3682606,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(Br)c2ccccc12,7.82
CHEMBL3682617,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)nc2ccccc2c1Cl,7.09
CHEMBL3687329,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ncccc12,6.47
CHEMBL3687338,Cc1c(N(Cc2cc3cccc(Cl)c3n2C)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.92
CHEMBL275628,NCCc1c[nH]c2ccc(F)cc12,4.88
CHEMBL3971179,C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,7.1
CHEMBL1289952,CCOC(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,4.54
CHEMBL3935896,Cc1cccc(C(=O)N([C@H](C)c2cccc(Cl)c2)[C@@H](C(N)=O)c2ccccc2)c1,5.68
CHEMBL3926952,C[C@H](c1cc(F)cc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,6.75
CHEMBL256087,CC1CCC(C(C)C)C(O)C1,4.72
CHEMBL3353585,N#Cc1cc(C(F)(F)F)cnc1N(Cc1ccccc1)S(=O)(=O)c1ccc(C(=O)O)cc1,5.61
CHEMBL3353580,N#Cc1cnc(N(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(Cl)c1,4.62
CHEMBL3353579,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(Cl)cc2Cl)cc1,6.7
CHEMBL3235967,CC(C)(C)NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,7.43
CHEMBL3235959,O=C(Nc1ccccc1F)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1,7.32
CHEMBL1288652,NCCc1c[nH]c2ccc(OCc3ccccc3)cc12,6.47
CHEMBL3353606,O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc3occc3c2)c2ncc(C(F)(F)F)cc2Cl)cc1,7.82
CHEMBL3900018,Cc1cccc(COc2ccccc2C(=O)N(CCCN)Cc2cccs2)c1,6.23
CHEMBL4237383,O=C(N[C@@H](c1ccc(C(F)(F)F)c(F)c1)c1ccccc1C(F)(F)F)c1ccc2cccnc2c1,6.96
CHEMBL4246304,O=C(N[C@@H](c1cnc2ccccc2c1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,7.12
CHEMBL4250626,O=C(O)c1ccc(C(=O)N[C@@H](c2ccc(OC(F)(F)F)c(F)c2)c2ncccc2F)cc1,7.7
CHEMBL4243837,O=C(N[C@@H](c1ccc(OC(F)(F)F)c(F)c1)c1ncccc1F)c1ccc(=O)[nH]c1,8.05
CHEMBL2443064,O=C(Nc1ccc(C(F)(F)F)cc1)N1CCC2(CCc3cc(F)cc(Cl)c3O2)CC1,6.34
CHEMBL2442051,NCCN(Cc1cccs1)C(=O)c1ccccc1OCc1ccccc1,5.91
CHEMBL2442016,CCN(C(=O)c1ccccc1OCc1ccccc1Cl)[C@H]1CCC[C@@H](N)C1,7.07
CHEMBL3235975,O=C(Nc1ccc(F)cc1)N1CCc2ccncc2C1c1ccc(C(F)(F)F)cc1,6.33
CHEMBL3235978,O=C(Nc1ccc(F)cc1)N1CCc2nccnc2[C@H]1c1ccc(C(F)(F)F)cc1,6.7
CHEMBL441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,6.32
CHEMBL3682597,Cc1c(N(Cc2ccc3ccn(C)c3c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.04
CHEMBL3682600,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(N)=O)cc2)ncc2ccccc12,7.68
CHEMBL3687366,Cc1c(N(Cc2cc3cc(F)cc(F)c3s2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.22
CHEMBL3687390,COC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1F)C(F)(F)F,8.59
CHEMBL3682610,Cc1cc2cccc(Cl)c2nc1N(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(C(=O)O)cc1,8.37
CHEMBL3687324,CC(C)c1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C(C)C)c2ccccc12,7.32
CHEMBL3687353,Cc1c(N(Cc2ccc(C(F)(F)C3CC3)c(Cl)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(C2CC2)c2ccccc12,9.0
CHEMBL3687358,O=C(O)c1ccc(S(=O)(=O)N(c2ncc3ccccc3c2C2CC2)C2CCc3cc(OC(F)(F)F)ccc32)cc1,8.37
CHEMBL3682541,Cn1ccc2c(Cl)cnc(N(Cc3ccc(OC(F)(F)F)cc3)S(=O)(=O)c3ccc(C(=O)[O-])cc3)c21,7.66
CHEMBL3682542,Cc1c(N(Cc2ccc(-c3ccc(F)cc3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.58
CHEMBL3682554,Cc1c(N(Cc2cccc3ccccc23)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.19
CHEMBL3687412,NC(=O)c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2C2CC2)cc1,8.07
CHEMBL4780270,C[C@H](c1cc(F)cc(F)c1)N(C(=O)c1ccccc1N)[C@@H](C(N)=O)c1ccccc1,6.96
CHEMBL4749601,NC(=O)[C@@H](c1ccccc1)N(C(=O)c1ccccc1)[C@@H]1CCc2c(F)cc(Cl)cc21,6.52
CHEMBL4763338,NC(=O)[C@@H](c1ccccc1)N(C(=O)c1ccccc1)[C@@H]1COc2ccccc21,5.48
CHEMBL4754910,NC(=O)[C@@H](c1ccccc1)N(C(=O)c1ccccc1)[C@@H]1CCc2ncccc21,4.71
CHEMBL4764800,C[C@H](c1cc(F)c(F)c(F)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1,5.77
CHEMBL3687391,CCOC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1F)C(F)(F)F,8.3
CHEMBL3687402,CC(C)c1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C2CC2)c2ccccc12,8.16
CHEMBL4647674,O=C1[C@@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc(Cl)cc3)N2C(=O)N1Cc1ccc(F)cc1,8.39
CHEMBL3682586,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)nc(N2CCCC2)c2ccccc12,7.54
CHEMBL3682596,Cc1c(N(Cc2ccc3cc[nH]c3c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.27
CHEMBL3687330,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccncc12,6.52
CHEMBL3687345,Cc1c(N(Cc2ccc3c(c2)CCC3(O)C(F)(F)F)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.11
CHEMBL3687349,Cc1c(N(Cc2ccc(C(O)(C3CC3)C(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,7.52
CHEMBL3682557,O=C([O-])c1ccc(S(=O)(=O)N(Cc2ccc(OC(F)(F)F)cc2)c2ncc3ccccc3c2Cl)cc1,8.51
CHEMBL3682560,Cc1c(N(Cc2ccc(OCC3CCC3)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,7.43
CHEMBL4246499,O=C(N[C@@H](Cc1ccccc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1,5.94
CHEMBL3299024,FC(F)(F)Oc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,5.19
CHEMBL4247847,C[C@H](NC(=O)N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1F)C(F)(F)F,6.92
CHEMBL3687321,Cc1c(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccn(C)c12,6.06
CHEMBL3687335,Cc1c(N(Cc2cnc3ccccc3c2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12,6.78
CHEMBL3687352,Cc1cc2ccccc2nc1N(Cc1ccc2c(c1)CCCC2)S(=O)(=O)c1ccc(C(=O)O)cc1,8.16
CHEMBL3687374,Cc1c(N(Cc2ccc(C(F)(F)C3CC3)c(F)c2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12,8.82
CHEMBL1289835,Cc1[nH]c2ccc(OCc3ccccc3)cc2c1CCN,5.82
CHEMBL357130,CN(C)CCc1c[nH]c2ccc(OCc3ccccc3)cc12,5.25
