"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3235962";"";"None";"421.42";"1";"5.76";"22";"N#Cc1cccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)c1";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"16.80";"0.31";"1.32";"12.62";"0";"CHEMBL3239164";"Antagonist activity at human TRPM8 assessed as inhibition of icilin-induced Ca2+ influx incubated 2.5 mins prior to icilin challenge by luminometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232803";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL3235983";"";"None";"434.36";"1";"5.45";"44";"C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"18.42";"0.36";"2.55";"24.74";"0";"CHEMBL3239164";"Antagonist activity at human TRPM8 assessed as inhibition of icilin-induced Ca2+ influx incubated 2.5 mins prior to icilin challenge by luminometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232803";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL1650511";"";"None";"467.41";"1";"7.09";"5";"FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1";"IC50";"'='";"0.413";"nM";"9.38";"";"";"UO_0000065";"20.08";"0.39";"2.29";"18.67";"0";"CHEMBL1655535";"Inhibition of human TRPM8 expressed in HEK293 cells assessed as inhibition of cold-induced channel current by whole cell electrophysiology";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1649073";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3307715";"";"";""
"CHEMBL2443068";"";"None";"438.83";"1";"5.39";"9b";"O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(Cl)cccc21";"IC50";"'='";"230.4";"nM";"6.64";"";"";"UO_0000065";"15.13";"0.30";"1.25";"11.32";"0";"CHEMBL2444600";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced 45Ca2+ uptake incubated for 10 mins prior to icilin-challenge measured after 4 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440039";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";""
"CHEMBL2442052";"";"None";"396.51";"0";"3.94";"2, BMAC";"COc1cc(CN(CCN)C(=O)c2cccs2)ccc1OCc1ccccc1";"Kb";"'='";"8.4";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2445667";"Inhibition of human TRPM8 (unknown origin) expressed in HEK293 cells assessed as inhibition of WS12-induced Ca2+ elevation by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2439990";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"CHEMBL3307715";"";"";""
"CHEMBL256087";"MENTHOL";"4.0";"156.27";"0";"2.44";"Menthol";"CC1CCC(C(C)C)C(O)C1";"Activity";"'='";"10.0";"uM";"";"";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1224916";"Agonist activity at TRPM8";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221170";"1";"Scientific Literature";"Nat Chem Biol";"2005";"None";"";"";""
"CHEMBL4086590";"";"None";"273.33";"0";"3.02";"76";"CCN(Cc1ccco1)C(=O)COc1ccc(C)cc1";"EC50";"'='";"489.0";"nM";"6.31";"";"";"UO_0000065";"23.09";"0.43";"3.29";"14.79";"0";"CHEMBL4056645";"Agonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in intracellular calcium level after 15 mins by Fluo-3-AM dye-based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052716";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307715";"";"";""
"CHEMBL4100340";"";"None";"275.37";"0";"3.09";"11";"Cc1ccc(OCC(=O)N(C)Cc2cccs2)cc1";"EC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"23.23";"0.46";"3.31";"21.66";"0";"CHEMBL4056645";"Agonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in intracellular calcium level after 15 mins by Fluo-3-AM dye-based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052716";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307715";"";"";""
"CHEMBL4067932";"";"None";"343.49";"0";"4.80";"15";"Cc1ccc(OCC(=O)N(Cc2cccs2)C2CCCCC2)cc1";"EC50";"'='";"40000.0";"nM";"4.40";"";"";"UO_0000065";"12.80";"0.25";"-0.40";"14.89";"0";"CHEMBL4056645";"Agonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in intracellular calcium level after 15 mins by Fluo-3-AM dye-based fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052716";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307715";"";"";""
"CHEMBL4087522";"";"None";"327.41";"0";"3.39";"35";"Cc1ccc(OCC(=O)N(Cc2cccs2)c2ccn[nH]2)cc1";"Ratio EC50";"'='";"35810.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4056646";"Potency index, ratio of WS-3 EC50 to compound EC50 for human TRPM8 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052716";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
