Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL3235962,421.422,403.2780000000001,0.5722808468865763,0.41590986102481703,-0.31304866073288806,0.41590986102481703,0.31304866073288806,0,1,1,3,0,3,2,1,7,2,0,0,0,4,5.756680000000004,110.31470000000002
CHEMBL3235983,434.355,417.21899999999994,0.626599727580963,0.41872178629038675,-0.32637551589765784,0.41872178629038675,0.32637551589765784,0,1,1,2,0,2,1,1,10,2,0,0,0,3,5.4524000000000035,94.14570000000003
CHEMBL1650511,467.41300000000035,448.26100000000025,0.40909594475873307,0.4180054774320779,-0.38846361382209305,0.4180054774320779,0.38846361382209305,1,1,2,2,1,3,3,1,10,2,1,0,1,5,7.094800000000004,109.58870000000002
CHEMBL2443068,438.83300000000025,420.6890000000002,0.649001565630474,0.41591206460675095,-0.48433569472027127,0.48433569472027127,0.41591206460675095,0,2,2,2,0,2,3,1,9,1,0,1,1,4,5.390700000000004,105.0282
CHEMBL3959823,358.4410000000001,336.2650000000001,0.7270430458673979,0.2546057940731104,-0.3675736498270755,0.3675736498270755,0.2546057940731104,0,0,0,3,0,3,2,1,4,6,0,0,0,3,3.864020000000002,105.87190000000001
CHEMBL3944840,408.88500000000016,387.7170000000002,0.6304600671880222,0.25856848779312264,-0.5071216401551005,0.5071216401551005,0.25856848779312264,0,0,0,3,0,3,3,2,6,6,0,0,0,3,4.475600000000003,112.5207
CHEMBL4644158,323.37100000000004,305.22700000000003,0.693912670464732,0.2372593085298723,-0.35709303164177786,0.35709303164177786,0.2372593085298723,0,1,1,2,1,3,2,3,5,3,0,0,0,4,2.6377000000000006,90.87710000000004
CHEMBL4649088,345.4020000000001,326.25000000000006,0.7475035049562123,0.24604063003037052,-0.35667915969812214,0.35667915969812214,0.24604063003037052,0,2,2,2,1,3,2,2,5,2,0,1,1,5,2.1622999999999992,98.41740000000003
CHEMBL2443089,459.29500000000036,440.1430000000003,0.5361465793407741,0.4159644183769169,-0.4852810421729305,0.4852810421729305,0.4159644183769169,0,2,2,2,0,2,2,1,9,1,0,1,1,4,6.403900000000005,109.41170000000002
CHEMBL3985375,420.4940000000002,400.3340000000001,0.5501095770024363,0.3304384172449534,-0.3016720473144238,0.3304384172449534,0.3016720473144238,0,0,0,2,2,4,7,1,8,4,0,0,0,4,2.85032,119.05070000000006
