Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL3235962,421.422,403.278,0.572280847,0.415909861,-0.313048661,0.415909861,0.313048661,0,1,1,3,0,3,2,1,7,2,0,0,0,4,5.75668,110.3147
CHEMBL3235983,434.355,417.219,0.626599728,0.418721786,-0.326375516,0.418721786,0.326375516,0,1,1,2,0,2,1,1,10,2,0,0,0,3,5.4524,94.1457
CHEMBL1650511,467.413,448.261,0.409095945,0.418005477,-0.388463614,0.418005477,0.388463614,1,1,2,2,1,3,3,1,10,2,1,0,1,5,7.0948,109.5887
CHEMBL2443068,438.833,420.689,0.649001566,0.415912065,-0.484335695,0.484335695,0.415912065,0,2,2,2,0,2,3,1,9,1,0,1,1,4,5.3907,105.0282
CHEMBL3959823,358.441,336.265,0.727043046,0.254605794,-0.36757365,0.36757365,0.254605794,0,0,0,3,0,3,2,1,4,6,0,0,0,3,3.86402,105.8719
CHEMBL3944840,408.885,387.717,0.630460067,0.258568488,-0.50712164,0.50712164,0.258568488,0,0,0,3,0,3,3,2,6,6,0,0,0,3,4.4756,112.5207
CHEMBL4644158,323.371,305.227,0.69391267,0.237259309,-0.357093032,0.357093032,0.237259309,0,1,1,2,1,3,2,3,5,3,0,0,0,4,2.6377,90.8771
CHEMBL4649088,345.402,326.25,0.747503505,0.24604063,-0.35667916,0.35667916,0.24604063,0,2,2,2,1,3,2,2,5,2,0,1,1,5,2.1623,98.4174
CHEMBL2443089,459.295,440.143,0.536146579,0.415964418,-0.485281042,0.485281042,0.415964418,0,2,2,2,0,2,2,1,9,1,0,1,1,4,6.4039,109.4117
CHEMBL3985375,420.494,400.334,0.550109577,0.330438417,-0.301672047,0.330438417,0.301672047,0,0,0,2,2,4,7,1,8,4,0,0,0,4,2.85032,119.0507
CHEMBL3897802,492.454,476.326,0.440530377,0.418744321,-0.301672047,0.418744321,0.301672047,0,0,0,2,2,4,7,1,12,4,0,0,0,4,3.6998,119.2737
CHEMBL3897467,508.909,492.781,0.447197243,0.417364812,-0.301672047,0.417364812,0.301672047,0,0,0,2,2,4,7,1,12,4,0,0,0,4,4.2141,124.3257
CHEMBL3936454,496.442,480.314,0.435579726,0.418744321,-0.444149012,0.444149012,0.418744321,0,0,0,1,3,4,8,1,13,4,0,0,0,4,3.60122,116.2767
CHEMBL391997,376.909,355.741,0.563976523,0.168746664,-0.504253053,0.504253053,0.168746664,0,1,1,2,0,2,3,3,6,3,0,0,0,3,3.6166,104.2593
CHEMBL3979456,511.432,497.32,0.42453482,0.421580836,-0.301672022,0.421580836,0.301672022,0,0,0,1,3,4,8,1,14,4,0,0,0,4,3.2339,117.0267
CHEMBL3682545,572.605,545.389,0.247638439,0.420910598,-0.477639243,0.477639243,0.420910598,0,0,0,3,1,4,5,1,11,9,0,0,0,4,6.45092,144.7251
CHEMBL3682546,516.497,497.345,0.346759806,0.572596301,-0.477639243,0.572596301,0.477639243,0,0,0,3,1,4,5,1,11,7,0,0,0,4,5.53552,126.3751
