Molecule ChEMBL ID,,HOMO,LUMO,Electronegativity,Hardness
CHEMBL3235962,,-0.231539,-0.044737,0.13813799999999998,0.093401
CHEMBL3235983,,-0.232191,-0.042496,0.1373435,0.0948475
CHEMBL1650511,,-0.214139,-0.056617,0.135378,0.078761
CHEMBL2443068,,-0.23319,-0.073593,0.15339150000000001,0.0797985
CHEMBL3959823,,-0.209752,-0.041662,0.12570699999999999,0.084045
CHEMBL3944840,,-0.208589,-0.042807,0.125698,0.082891
CHEMBL4644158,,-0.185784,-0.001692,0.093738,0.092046
CHEMBL4649088,,-0.191669,-0.013927,0.102798,0.088871
CHEMBL2443089,,-0.223253,-0.038908,0.1310805,0.0921725
CHEMBL3985375,,-0.192536,-0.059496,0.12601600000000002,0.06652
CHEMBL3897802,,-0.210732,-0.066446,0.13858900000000002,0.072143
CHEMBL3897467,,-0.211096,-0.063722,0.137409,0.073687
CHEMBL3936454,,-0.203905,-0.040966,0.1224355,0.0814695
CHEMBL391997,,-0.185306,-0.037935,0.1116205,0.0736855
CHEMBL3979456,,-0.214704,-0.074442,0.144573,0.070131
CHEMBL3682545,,-0.223845,-0.085896,0.1548705,0.0689745
CHEMBL3682546,,-0.2226,-0.090386,0.156493,0.066107
CHEMBL3682562,,-0.206346,-0.08268,0.144513,0.061833
CHEMBL3682573,,-0.214367,-0.086122,0.1502445,0.0641225
CHEMBL3682589,,-0.2165,-0.080756,0.14862799999999998,0.067872
CHEMBL3682604,,-0.218187,-0.076546,0.1473665,0.0708205
CHEMBL3682606,,-0.233938,-0.107094,0.170516,0.063422
CHEMBL3682617,,-0.020372,-0.007215,0.0137935,0.0065785
CHEMBL3687329,,-0.021025,-0.015688,0.018356499999999998,0.0026685
CHEMBL3687338,,-0.019567,-0.002118,0.010842500000000001,0.0087245
CHEMBL275628,,-0.191171,-0.008522,0.0998465,0.0913245
CHEMBL3971179,,-0.227097,-0.042347,0.134722,0.092375
CHEMBL3924373,,-0.209754,-0.040071,0.1249125,0.0848415
CHEMBL3905801,,-0.220789,-0.043692,0.1322405,0.0885485
CHEMBL1289952,,-0.189659,-0.005647,0.097653,0.092006
CHEMBL3935896,,-0.212968,-0.051322,0.13214499999999998,0.080823
CHEMBL3926952,,-0.222268,-0.064408,0.143338,0.07893
CHEMBL256087,,-0.244942,0.064836,0.090053,0.154889
CHEMBL3984932,,-0.215582,-0.052717,0.1341495,0.0814325
CHEMBL3353585,,-0.249592,-0.091562,0.170577,0.079015
CHEMBL3353580,,-0.249808,-0.09712,0.173464,0.076344
CHEMBL3353579,,-0.237116,-0.090423,0.1637695,0.0733465
CHEMBL3235967,,-0.22172,-0.025467,0.1235935,0.0981265
CHEMBL3235959,,-0.220184,-0.029115,0.1246495,0.0955345
CHEMBL1288652,,-0.179141,-0.002032,0.0905865,0.0885545
CHEMBL3353606,,-0.212589,-0.091533,0.152061,0.060528
CHEMBL3904770,,-0.200283,-0.035032,0.1176575,0.0826255
CHEMBL3987098,,-0.19347,-0.045855,0.1196625,0.0738075
CHEMBL3936873,,-0.201062,-0.054886,0.127974,0.073088
