,Molecule ChEMBL ID,Smiles,pChEMBL Value,Classification,Hybridization,Conjugation
0,CHEMBL3235962,N#Cc1cccc(NC(=O)N2CCc3ccccc3[C@H]2c2ccc(C(F)(F)F)cc2)c1,7.08,2.0,"(0     2
1     2
2     3
3     3
4     3
5     3
6     3
7     3
8     3
9     3
10    3
11    4
12    4
13    3
14    3
15    3
16    3
17    3
18    3
19    4
20    3
21    3
22    3
23    3
24    4
25    4
26    4
27    4
28    3
29    3
30    3
dtype: int64, 0     N
1     C
2     C
3     C
4     C
5     C
6     C
7     N
8     C
9     O
10    N
11    C
12    C
13    C
14    C
15    C
16    C
17    C
18    C
19    C
20    C
21    C
22    C
23    C
24    C
25    F
26    F
27    F
28    C
29    C
30    C
dtype: object)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]"
1,CHEMBL3235983,C[C@H](NC(=O)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)c(F)c1)C(F)(F)F,8.0,2.0,"(0     4
1     4
2     3
3     3
4     3
5     3
6     4
7     4
8     3
9     3
10    3
11    3
12    3
13    3
14    4
15    3
16    3
17    3
18    3
19    4
20    4
21    4
22    4
23    3
24    4
25    3
26    4
27    4
28    4
29    4
dtype: int64, 0     C
1     C
2     N
3     C
4     O
5     N
6     C
7     C
8     C
9     C
10    C
11    C
12    C
13    C
14    C
15    C
16    C
17    C
18    C
19    C
20    F
21    F
22    F
23    C
24    F
25    C
26    C
27    F
28    F
29    F
dtype: object)","[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]"
2,CHEMBL1650511,FC(F)(F)c1ccccc1-c1cc(C(F)(F)F)c2[nH]c(C3=NOC4(CCCCC4)C3)nc2c1,9.38,2.0,"(0     4
1     4
2     4
3     4
4     3
5     3
6     3
7     3
8     3
9     3
10    3
11    3
12    3
13    4
14    4
15    4
16    4
17    3
18    3
19    3
20    3
21    3
22    3
23    4
24    4
25    4
26    4
27    4
28    4
29    4
30    3
31    3
32    3
dtype: int64, 0     F
1     C
2     F
3     F
4     C
5     C
6     C
7     C
8     C
9     C
10    C
11    C
12    C
13    C
14    F
15    F
16    F
17    C
18    N
19    C
20    C
21    N
22    O
23    C
24    C
25    C
26    C
27    C
28    C
29    C
30    N
31    C
32    C
dtype: object)","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]"
3,CHEMBL2443068,O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(Cl)cccc21,6.64,1.0,"(0     3
1     3
2     4
3     4
4     4
5     4
6     3
7     3
8     3
9     3
10    3
11    3
12    3
13    3
14    4
15    4
16    4
17    4
18    3
19    3
20    4
21    4
22    3
23    3
24    3
25    4
26    3
27    3
28    3
29    3
dtype: int64, 0      O
1      C
2      C
3      C
4      C
5      C
6      N
7      C
8      O
9      N
10     C
11     C
12     C
13     C
14     C
15     F
16     F
17     F
18     C
19     C
20     C
21     C
22     O
23     C
24     C
25    Cl
26     C
27     C
28     C
29     C
dtype: object)","[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]"
4,CHEMBL3959823,Cc1cccc(CN(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1,6.06,1.0,"(0     4
1     3
2     3
3     3
4     3
5     3
6     4
7     3
8     3
9     3
10    3
11    3
12    3
13    3
14    3
15    3
16    4
17    3
18    3
19    3
20    3
21    3
22    3
23    3
24    3
25    3
26    3
dtype: int64, 0     C
1     C
2     C
3     C
4     C
5     C
6     C
7     N
8     C
9     O
10    C
11    C
12    C
13    C
14    C
15    C
16    C
17    C
18    N
19    O
20    C
21    C
22    C
23    C
24    C
25    C
26    C
dtype: object)","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,CHEMBL3944840,C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1,7.0,2.0,"(0     4
1     4
2     3
3     3
4     3
5     3
6     3
7     4
8     3
9     3
10    3
11    3
12    3
13    3
14    3
15    3
16    3
17    3
18    3
19    4
20    3
21    3
22    3
23    3
24    3
25    3
26    3
27    3
28    3
dtype: int64, 0      C
1      C
2      C
3      C
4      C
5      C
6      C
7     Cl
8      C
9      N
10     C
11     O
12     C
13     C
14     C
15     C
16     C
17     C
18     O
19     C
20     C
21     N
22     O
23     C
24     C
25     C
26     C
27     C
28     C
dtype: object)","[0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
6,CHEMBL4644158,O=C(NCc1ccc(F)cc1)[C@@H]1Cc2c([nH]c3ccccc23)CN1,7.43,2.0,"(0     3
1     3
2     3
3     4
4     3
5     3
6     3
7     3
8     4
9     3
10    3
11    4
12    4
13    3
14    3
15    3
16    3
17    3
18    3
19    3
20    3
21    3
22    4
23    4
dtype: int64, 0     O
1     C
2     N
3     C
4     C
5     C
6     C
7     C
8     F
9     C
10    C
11    C
12    C
13    C
14    C
15    N
16    C
17    C
18    C
19    C
20    C
21    C
22    C
23    N
dtype: object)","[1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1]"
7,CHEMBL4649088,O=C1N[C@H](Cc2ccccc2)C(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]12,8.18,2.0,"(0     3
1     3
2     3
3     4
4     4
5     3
6     3
7     3
8     3
9     3
10    3
11    3
12    3
13    3
14    4
15    3
16    3
17    3
18    3
19    3
20    3
21    3
22    3
23    3
24    4
25    4
dtype: int64, 0     O
1     C
2     N
3     C
4     C
5     C
6     C
7     C
8     C
9     C
10    C
11    C
12    O
13    N
14    C
15    C
16    N
17    C
18    C
19    C
20    C
21    C
22    C
23    C
24    C
25    C
dtype: object)","[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1]"
8,CHEMBL2443089,O=C(Nc1ccc(C(F)(F)F)cc1Cl)N1CCC2(CCc3cccc(Cl)c3O2)CC1,6.75,1.0,"(0     3
1     3
2     3
3     3
4     3
5     3
6     3
7     4
8     4
9     4
10    4
11    3
12    3
13    4
14    3
15    4
16    4
17    4
18    4
19    4
20    3
21    3
22    3
23    3
24    3
25    4
26    3
27    3
28    4
29    4
dtype: int64, 0      O
1      C
2      N
3      C
4      C
5      C
6      C
7      C
8      F
9      F
10     F
11     C
12     C
13    Cl
14     N
15     C
16     C
17     C
18     C
19     C
20     C
21     C
22     C
23     C
24     C
25    Cl
26     C
27     O
28     C
29     C
dtype: object)","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
9,CHEMBL391997,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,4.75,0.0,"(0     3
1     3
2     3
3     3
4     3
5     3
6     3
7     3
8     4
9     3
10    3
11    3
12    3
13    4
14    4
15    3
16    3
17    3
18    3
19    4
20    3
21    3
22    4
23    4
24    4
dtype: int64, 0      O
1      C
2      C
3      C
4      C
5      C
6      C
7      O
8      C
9      N
10     C
11     S
12     N
13     C
14     C
15     C
16     C
17     C
18     C
19    Cl
20     C
21     C
22     C
23     C
24     C
dtype: object)","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
