Molecule ChEMBL ID,-logIC50,GETAWAY_18,GETAWAY_19,GETAWAY_20,GETAWAY_24,GETAWAY_59,GETAWAY_60,GETAWAY_94,GETAWAY_95,GETAWAY_96,GETAWAY_100,GETAWAY_141,GETAWAY_145,GETAWAY_148,GETAWAY_149,GETAWAY_150,GETAWAY_153,GETAWAY_202,GETAWAY_203,GETAWAY_204,GETAWAY_229,GETAWAY_237,GETAWAY_238,GETAWAY_257,GETAWAY_258,WHIM_19,WHIM_77,WHIM_84,WHIM_101,MORSE_22,MORSE_40,MORSE_42,MORSE_43,MORSE_45,MORSE_75,MORSE_77,MORSE_90,MORSE_94,MORSE_193,MORSE_194,MORSE_197,MORSE_200,MORSE_203,MORSE_205,MORSE_206,MORSE_210,MORSE_211,MORSE_214,MORSE_216,MORSE_218,MORSE_219,MORSE_223,RDF_25,RDF_26,RDF_27,RDF_28,RDF_29,RDF_182,AUTOCORR3D_4,AUTOCORR3D_5,AUTOCORR3D_8,AUTOCORR3D_9,AUTOCORR3D_26,AUTOCORR3D_27,AUTOCORR3D_28,BalabanJ,Kappa3,PEOE_VSA3,PEOE_VSA4,JGI2,JGI3,JGI4,max_abs_charge,aliphaticHeterocycles,aliphaticRings,aromaticHeterocycles,HAcceptors,rotatableBonds,satureatedRings
CHEMBL3577905,15.91108148,-0.701043848,-0.138307607,0.767483375,-0.443679184,0.178998393,0.564593877,-0.541767967,-0.399141272,-0.410814828,0.49948294,-0.450513116,0.44845695,-0.136816699,0.414758273,-0.139798829,0.912651759,-0.542242238,0.511199474,-0.234180009,-0.637635386,0.820935901,-0.618826194,0.260622359,-0.250947512,-0.652330737,-0.570065364,-0.405119152,-0.075835742,-0.796696589,-0.488058341,-0.930230958,0.838080814,-0.132511059,0.397328644,0.250410302,-0.535090336,1.092358743,-2.186005278,0.449242863,-0.282681913,0.497683046,1.66703855,-0.740965895,0.848319179,-0.849756623,0.217736831,0.532481156,-1.125023827,-0.302804227,-1.21222391,0.486819493,-0.489115325,-0.64944308,-0.560148712,-0.475294174,-0.407218359,-0.9404081,-0.222854445,0.756742009,0.941656097,0.985963533,0.468369652,0.809791682,0.779747688,-0.093784029,0.070873183,0.615604783,-0.065339637,-0.68742362,-0.069166303,-0.233184077,0.014447641,-0.417060297,-0.629914857,0.948005698,-0.290248404,0.707199864,-0.499087154
CHEMBL497318,15.64809202,0.589198559,0.081182856,-0.830310935,-1.170299811,-1.752766446,-1.821846218,-1.24214341,-1.91136368,-1.635999995,-1.564155607,-1.275282707,-0.197558128,1.461699734,0.777287513,1.472802803,-0.36766651,-0.429365512,0.108689895,0.71115215,-0.439104778,0.123598879,0.919046488,-1.492783439,-0.892571911,-0.760460881,1.226063275,0.030212382,-0.931432776,1.079000882,2.209552793,0.314760804,-1.967638853,2.068711106,-3.045120343,2.131167271,2.315456594,3.302455511,-0.720377393,1.291829391,0.593948259,1.757514919,-0.942648174,1.38865803,-0.01005784,-0.101478409,-0.337330556,1.051442947,-0.997875473,0.409372006,-1.022310913,0.574925749,1.208192597,3.216304355,0.78093516,0.996750165,1.777717557,-0.915202718,-0.922415304,-1.62203796,-0.94375719,-0.543904949,-2.006607282,-1.8664944,-1.526737428,2.989474846,1.982860749,-1.379930219,-0.705658395,-0.823117256,-0.199385779,-1.22455477,0.47829511,-0.417060297,-0.629914857,-1.331390355,-1.258730324,1.591537744,-0.499087154
CHEMBL3687358,19.26465081,-0.837511795,-0.03433844,-0.053005595,-0.070149667,0.354613379,0.597284837,-0.984110352,-1.335278953,-1.176555557,0.347744812,0.653051831,-0.585167175,0.266692303,0.193474191,0.010376933,1.845765074,0.780027985,0.113721265,0.020332495,-0.935431299,0.591224882,0.208567296,-0.18531624,0.00295195,0.19998922,-0.026011792,0.674582136,0.653525663,-0.899572854,-0.256973528,-0.180847427,-0.794935711,-1.481413032,-0.470176985,-1.402376124,-0.461527834,-0.414525417,1.499505788,-0.978724433,-1.458961893,0.148823641,-1.138808615,-0.755061956,0.124341774,1.180435563,-0.882567527,-0.578584691,0.311587447,0.587025331,-0.422434595,-0.103901353,0.336201578,0.254482327,-0.256840696,-0.377606211,-0.405695491,-0.471143188,-0.207970171,0.141540293,0.997579372,0.698627828,0.928008225,0.809791682,0.631896078,-0.981488422,0.171517698,1.102142134,-0.705658395,-0.44520534,0.141865849,-0.836268195,1.489043535,-0.417060297,2.344556742,-0.191692329,0.193992556,0.707199864,1.579912839
CHEMBL3235981,17.50439001,0.403105904,-0.230724644,-0.042209687,0.094062366,-0.277600569,0.172302354,-0.320596774,0.032922273,-0.359765446,0.165659058,0.1047543,0.620727638,0.615882786,0.127559784,0.353635817,0.833083957,1.726042454,0.415603449,0.727678936,0.057221743,0.336901968,1.836374053,0.915904357,0.448366065,0.27631638,-0.993022624,-0.687873453,0.61144712,-0.064600382,-0.312920377,-0.027089452,-0.697862821,0.313250949,-0.559260693,0.598065378,0.543826351,1.254209264,2.306953151,-1.936908314,-2.607020008,-1.26941888,-2.795925179,0.011942753,0.159951928,1.48367292,-1.772922297,-1.770075367,2.020989736,-0.167350079,1.951238683,-1.764536986,-0.735574412,-0.64944308,-0.560148712,-0.475294174,-0.407218359,1.84626932,0.848813254,0.811426606,0.174708319,-0.279866734,0.415334432,0.11300714,-0.210858099,0.555705619,-0.021253907,-0.85106001,2.602567396,0.882436264,-0.574192763,-0.197817109,-0.944148272,1.438432454,0.857320942,-0.191692329,-1.258730324,-1.503644835,-0.499087154
CHEMBL3353599,18.08420851,0.551980028,-0.484871495,-1.164984067,1.2202891,0.21412139,-0.285371088,-0.246873044,-0.399141272,-0.359765446,-0.653726836,0.671638188,-0.262159636,-1.184388148,-0.752868371,0.160552695,-0.345966201,1.285285713,0.033219349,1.157375373,-0.339839474,-0.442474704,0.294004667,2.270442852,3.268427722,-0.105319421,-0.253647262,-0.155189962,2.05614375,-0.145944405,-1.902540644,0.664075039,0.030183856,-1.739867878,0.091898789,-1.440371214,-1.129720555,0.305430349,2.154302929,-2.046531046,-2.476978078,-1.734416428,-1.095728604,-1.357165127,-1.352905261,1.904692419,-0.576420303,-1.902428038,1.872705032,-0.683117797,3.49111258,-2.3972663,-0.160914797,-0.632604979,-0.21671699,-0.475294174,-0.407218359,1.345423546,-0.074011709,0.059513397,0.542204129,0.939368554,1.688179712,1.88664052,1.504220578,1.249571171,0.823686029,1.58643491,2.602567396,1.913754384,1.384258143,0.721168787,0.014449498,-0.417060297,-0.629914857,-0.191692329,-0.290248404,0.265030924,-0.499087154
CHEMBL3235980,16.35381798,0.092951479,-0.404006588,-0.841106842,-0.218151928,-0.909814516,-0.743044531,0.453502399,1.257102318,0.661222194,-0.593031585,-0.946536518,-0.283693472,-0.385129932,0.104018924,-0.114769535,-0.060245457,0.070517134,-0.067408045,-0.214347866,0.454282959,0.156414739,-0.056738225,-0.036050681,-0.371692302,0.937818436,-0.389620663,0.088133763,1.130415813,0.246420882,-0.446706322,-0.086801287,-0.024615356,0.240651273,-0.226257309,0.366295328,-0.04467366,-0.03501385,0.510656092,0.105916745,-0.003230106,-0.665923258,-0.310459459,-0.534671163,-1.302936174,0.159398704,0.570227442,-0.18089341,1.119722571,-1.000914068,0.740961901,-0.955223404,-0.7056931,-0.64944308,-0.560148712,-0.475294174,-0.407218359,0.857180463,0.655317697,0.250909487,0.53421509,0.551077061,0.539083279,0.714775608,0.838888332,-0.485879992,-0.189824347,-0.85106001,1.609269981,-0.446498184,-1.17302679,-0.420613804,-0.944148272,1.438432454,0.857320942,-0.191692329,-0.774489364,-1.503644835,-0.499087154
CHEMBL3682561,16.21240633,-0.564575901,-1.074030105,-1.003045455,-0.526137587,-1.050306504,-0.677662611,-0.799801025,-0.759194226,-0.410814828,-0.744769713,0.06990488,-1.381919104,1.259945233,1.681256528,0.736226448,0.279726061,0.204894189,1.356469589,0.479777146,-0.538370082,-0.065092315,0.114136517,-0.390943483,-0.364313454,-0.404267466,1.557038529,2.001089622,-0.622856796,-1.241696245,0.064112739,0.616305571,0.149176431,-0.070075338,0.229766432,0.174420122,0.041149259,1.734179774,-0.024714308,0.847495878,0.699180771,0.819176566,0.628099241,0.117103842,0.340874484,0.021727911,0.170340185,0.213314905,-0.689086613,0.284337407,-1.21318065,0.602435719,2.814374864,2.067384573,1.038338935,2.855652994,2.036224525,-0.435559118,-2.053620098,-1.786091751,-0.408491553,-0.256569244,-0.680726782,-0.583777402,-0.432635514,-1.132858586,0.589781033,0.573271924,-0.705658395,0.099599469,-0.9513759,0.161420396,1.057625894,-0.417060297,0.857320942,-0.191692329,0.678233516,1.591537744,1.579912839
CHEMBL3897350,12.71689827,-0.887136503,-0.808331124,0.108933018,0.084195549,-0.101985583,1.251104041,1.448772766,2.26525059,1.886407361,0.954697326,0.301072695,0.986802849,-0.905035762,0.089894408,-0.944311838,1.212839376,-1.456006214,-0.248537356,-1.209260383,1.744731913,0.312290073,-1.576624092,-0.88333402,-0.998223603,0.944179033,-1.266569113,-0.912144683,0.807813652,-0.397153888,1.103994398,0.210265093,-0.588264396,0.750300996,-0.567744855,0.643659487,-0.001762201,-0.570794885,-1.038760246,0.928103741,0.983612907,0.89904935,-0.443463767,0.520743426,-0.307287754,-0.899865692,0.415047312,0.853547206,-0.045748967,0.303092597,-0.038781639,1.270481886,-0.735574412,-0.64944308,-0.560148712,-0.475294174,-0.407218359,-0.512361401,0.41716932,1.563339815,0.566171247,-1.126342188,1.529074052,0.873135731,-0.388280031,0.814176042,0.03576618,-1.379930219,-0.705658395,-1.873003272,0.163808859,-1.206937102,-1.694763018,-0.417060297,-0.629914857,-1.331390355,-1.258730324,0.265030924,-0.499087154
CHEMBL3298922,10.97643209,2.896747479,4.112876089,4.41650011,1.118801835,6.957736828,6.318202871,3.328727902,2.553292954,1.937456743,4.960583918,1.361656691,2.580306708,-2.464753252,-1.633296525,-0.686867675,-1.098243602,-0.767995691,-1.752916906,-0.577937158,2.935915562,-1.205443445,-1.063999865,-0.699384347,-0.179842247,-1.180260262,-1.771270382,-1.806735706,1.481070334,0.803866687,-0.027104951,0.741700425,-0.02774674,0.491846151,0.410054888,-0.093445264,0.176013844,-0.950306451,-1.091010274,-0.271342576,-0.752954111,-0.560130754,-0.594034682,0.636196877,-1.148721232,-0.377594878,0.346234404,0.112308919,1.09792571,-0.331978967,0.34965502,-0.857823239,-0.735574412,-0.64944308,-0.560148712,-0.475294174,-0.407218359,0.165515117,3.929857889,2.424622217,-3.396392269,-4.201610811,-0.362515462,-2.183214647,-3.493163842,1.616212521,-1.600496746,-1.379930219,1.588773259,-0.001759566,0.841604038,0.445299904,-0.934858474,-0.417060297,-0.629914857,-0.191692329,-1.742971284,-1.945813775,-0.499087154
CHEMBL3682563,17.89005249,-0.65141914,-1.027821587,-0.700760045,-0.507108725,-0.804445525,-0.710353571,-0.873524756,-0.831204817,-0.308716064,-0.684074462,0.000206041,-1.101979237,1.453939945,1.888416094,0.31430407,0.015705627,0.376896819,1.72375958,0.119493211,-0.73690069,0.550205057,0.267024445,-0.168593542,-0.4018785,-0.70321551,0.982270966,2.066043352,-0.496621169,-0.428256015,0.290332608,-0.246530446,-0.747964958,0.127395779,-1.4204032,0.140224541,-0.492178877,0.857954541,-0.007956617,0.653238191,0.282308769,1.164921154,-0.710936267,0.923040528,-0.234057196,0.850593906,-0.124221192,0.365615468,-0.206253123,-0.585174028,-0.437742443,0.416557542,1.487002526,1.050643886,0.702387905,0.665814493,0.603205046,-0.711928723,-1.7708189,-1.143547736,-0.20077653,0.03076646,-0.645369968,-0.488761328,-0.210858099,-0.985278984,0.450603429,1.102142134,-0.705658395,-0.070477555,-0.403091541,-0.076623165,0.213300067,-0.417060297,0.857320942,-0.191692329,0.193992556,1.149368804,1.579912839
