Molecule ChEMBL ID,-logIC50,GETAWAY_11,GETAWAY_12,GETAWAY_18,GETAWAY_19,GETAWAY_20,GETAWAY_51,GETAWAY_59,GETAWAY_95,GETAWAY_96,GETAWAY_140,GETAWAY_148,GETAWAY_149,GETAWAY_150,GETAWAY_151,GETAWAY_152,GETAWAY_178,GETAWAY_203,GETAWAY_215,GETAWAY_229,GETAWAY_237,GETAWAY_238,GETAWAY_260,GETAWAY_271,WHIM_9,WHIM_21,WHIM_31,WHIM_42,WHIM_53,WHIM_100,WHIM_101,WHIM_102,WHIM_103,WHIM_104,MORSE_1,MORSE_3,MORSE_8,MORSE_23,MORSE_25,MORSE_35,MORSE_42,MORSE_43,MORSE_47,MORSE_52,MORSE_55,MORSE_57,MORSE_61,MORSE_62,MORSE_66,MORSE_67,MORSE_73,MORSE_74,MORSE_79,MORSE_87,MORSE_89,MORSE_94,MORSE_151,MORSE_202,MORSE_203,MORSE_206,MORSE_207,MORSE_211,MORSE_215,MORSE_218,MORSE_222,AUTOCORR3D_5,AUTOCORR3D_6,HOMO,LUMO,BalabanJ,Kappa3,PEOE_VSA2,PEOE_VSA4,PEOE_VSA5,PEOE_VSA10,JGI2,JGI3,JGI4,min_charge,max_abs_charge,aliphaticHeterocycles,aliphaticRings,aromaticHeterocycles,HAcceptors,rotatableBonds,saturatedHeterocycles,satureatedRings,ringCount
CHEMBL3577905,15.91108148,-0.177317076,-0.357151997,-0.701043848,-0.138307607,0.767483375,-0.412917037,0.178998393,-0.399141272,-0.410814828,0.393787195,-0.136816699,0.414758273,-0.139798829,0.490685236,1.284441756,-0.682181802,0.511199474,-0.936112077,-0.637635386,0.820935901,-0.618826194,0.91605747,1.275182004,0.234194735,0.893269039,-0.322847761,0.174910677,-0.269185826,-0.651186821,-0.075835742,-0.027726929,-0.553057932,-0.135264253,-1.657479713,-0.306511686,-1.751555263,0.856136385,-0.045551317,-0.457457287,-0.930230958,0.838080814,-0.062711431,0.719362824,0.080450153,0.395670971,-0.433659699,1.043121186,0.862862606,-0.555739746,-0.06423059,-0.58728363,1.324919982,0.311397371,0.045646518,1.092358743,0.231639343,-1.001831822,1.66703855,0.848319179,-0.483276404,0.217736831,-0.003140043,-0.302804227,0.671463397,0.756742009,0.444841904,-0.199805378,0.050273134,-0.093784029,0.070873183,-0.147782915,-0.065339637,-0.790374272,0.455791286,-0.68742362,-0.069166303,-0.233184077,-0.47202908,0.014447641,-0.417060297,-0.629914857,0.948005698,-0.290248404,0.707199864,-0.315596251,-0.499087154,0.26576665
CHEMBL497318,15.64809202,1.470175302,3.143053093,0.589198559,0.081182856,-0.830310935,0.947459091,-1.752766446,-1.91136368,-1.635999995,-1.321755282,1.461699734,0.777287513,1.472802803,1.167397729,-0.173242208,-0.917631053,0.108689895,-0.193901982,-0.439104778,0.123598879,0.919046488,-1.355828988,-0.876416168,-0.352575601,-0.083306808,-0.702689453,-0.378002451,-0.443177095,1.183454903,-0.931432776,0.054822744,0.812144518,0.807262005,1.505159242,0.547684784,2.887085219,-1.142340397,3.540617118,-0.518879673,0.314760804,-1.967638853,-0.927071139,0.057167239,-0.622042379,2.608848531,-0.309245607,2.053906906,1.374986809,0.150836006,-1.631481042,0.585653853,-1.046824513,-0.837268013,3.471126213,3.302455511,-1.163832259,-0.182026762,-0.942648174,-0.01005784,-1.083740564,-0.337330556,-0.510210469,0.409372006,0.974692032,-1.62203796,-1.369261994,0.030777675,2.53282276,2.989474846,1.982860749,-0.835653652,-0.705658395,-0.790374272,0.432731549,-0.823117256,-0.199385779,-1.22455477,-0.886951215,0.47829511,-0.417060297,-0.629914857,-1.331390355,-1.258730324,1.591537744,-0.315596251,-0.499087154,-2.894440427
CHEMBL3687358,19.26465081,3.053577588,2.110271568,-0.837511795,-0.03433844,-0.053005595,2.961862204,0.354613379,-1.335278953,-1.176555557,0.073865673,0.266692303,0.193474191,0.010376933,1.072420537,1.23073761,-0.62331949,0.113721265,-0.087871968,-0.935431299,0.591224882,0.208567296,0.756012634,-0.471149389,1.342538703,0.276484294,1.923172675,1.818291362,0.474231417,0.093305473,0.653525663,0.632670451,0.707128945,-0.377628148,0.778102953,1.887186667,-0.423939761,-1.168810288,-1.467818655,-0.314896688,-0.180847427,-0.794935711,0.264087581,-1.533985184,0.202622767,-1.108019046,0.773617789,-0.490636275,-0.771957177,0.267017925,1.233385375,-0.66103832,-0.580323298,-0.567748761,-1.426844753,-0.414525417,-0.923463945,-0.200682924,-1.138808615,0.124341774,0.994859364,-0.882567527,1.293123172,0.587025331,-1.049838185,0.141540293,0.939597512,-0.431807465,-0.862470509,-0.981488422,0.171517698,-0.835653652,-0.705658395,1.025828197,0.44437073,-0.44520534,0.141865849,-0.836268195,-0.472030741,1.489043535,-0.417060297,2.344556742,-0.191692329,0.193992556,0.707199864,-0.315596251,1.579912839,2.372571369
CHEMBL3235981,17.50439001,-0.444987462,-0.746956697,0.403105904,-0.230724644,-0.042209687,-1.10618564,-0.277600569,0.032922273,-0.359765446,-0.551302073,0.615882786,0.127559784,0.353635817,-0.324535661,-0.196258271,-0.093558676,0.415603449,-0.830082064,0.057221743,0.336901968,1.836374053,-0.71627482,-0.176409914,-0.857850056,-0.091873263,0.403805909,0.313138959,-0.886063963,-0.757542863,0.61144712,-0.247859388,-0.080487853,-0.943143903,0.579898037,0.461724818,-0.226266628,-0.74529203,0.51629244,0.680752599,-0.027089452,-0.697862821,0.211989188,1.014369387,-1.442889632,0.618047664,1.478630979,1.451830194,-0.358280152,0.344077361,0.317751599,0.093162861,-0.026625595,-0.670422762,1.337305528,1.254209264,-0.315866262,2.274989769,-2.795925179,0.159951928,1.192962384,-1.772922297,-1.866928477,-0.167350079,1.904104707,0.811426606,1.867264278,-0.556182809,0.726297814,0.555705619,-0.021253907,-0.120603827,2.602567396,-0.790374272,0.53229038,0.882436264,-0.574192763,-0.197817109,1.629196168,-0.944148272,1.438432454,0.857320942,-0.191692329,-1.258730324,-1.503644835,-0.315596251,-0.499087154,-0.787635709
CHEMBL3353599,18.08420851,-0.098146961,0.772076052,0.551980028,-0.484871495,-1.164984067,0.921298012,0.21412139,-0.399141272,-0.359765446,-0.06408214,-1.184388148,-0.752868371,0.160552695,-0.945844791,-0.779331856,1.14254989,0.033219349,0.230218072,-0.339839474,-0.442474704,0.294004667,0.185852907,1.433604472,1.212145295,1.227360777,2.269984654,2.263693604,0.711492239,1.130276882,2.05614375,1.815882422,2.046077501,0.268675572,-1.121513291,-0.671473145,-1.269393094,0.666435499,-0.539973823,0.71715105,0.664075039,0.030183856,0.320922192,-0.793330407,-0.026450885,-0.811516789,0.169979045,1.935249452,-1.096136769,0.275316633,-0.662482107,0.749817517,-0.231537343,-0.246892508,-0.140352379,0.305430349,0.091424493,0.619921686,-1.095728604,-1.352905261,0.696678984,-0.576420303,-0.235117734,-0.683117797,2.804209039,0.059513397,0.104697423,-1.00123988,-1.472782059,1.249571171,0.823686029,-0.835653652,2.602567396,-0.790374272,-0.534797604,1.913754384,1.384258143,0.721168787,-0.472030741,0.014449498,-0.417060297,-0.629914857,-0.191692329,-0.290248404,0.265030924,-0.315596251,-0.499087154,-0.787635709
CHEMBL3235980,16.35381798,-0.652337761,-0.863496246,0.092951479,-0.404006588,-0.841106842,-0.923058085,-0.909814516,1.257102318,0.661222194,-1.130976392,-0.385129932,0.104018924,-0.114769535,-0.443257151,-0.779331856,-0.829337584,-0.067408045,-1.254202118,0.454282959,0.156414739,-0.056738225,-1.107634458,-0.48220212,-0.091788785,-0.597294096,0.618499039,1.096432556,-0.696255305,-0.411885727,1.130415813,0.329988318,0.287066653,-0.350698827,0.505596604,0.276542489,-0.538803879,-0.762938624,0.323660295,0.545775011,-0.086801287,-0.024615356,0.375388694,-0.8717896,-1.049646529,-0.00319516,1.580005424,0.085072113,-0.618817125,0.685509939,1.334498308,0.50951998,0.391917552,-0.766679637,-0.057686202,-0.03501385,-0.703126324,0.062635476,-0.310459459,-1.302936174,0.740676548,0.570227442,-1.025247806,-1.000914068,0.936365737,0.250909487,0.991134555,-0.525603623,0.128604839,-0.485879992,-0.189824347,-0.120603827,1.609269981,-0.790374272,-0.496548057,-0.446498184,-1.17302679,-0.420613804,1.836255305,-0.944148272,1.438432454,0.857320942,-0.191692329,-0.774489364,-1.503644835,-0.315596251,-0.499087154,0.26576665
CHEMBL3682561,16.21240633,2.031906113,2.218773907,-0.564575901,-1.074030105,-1.003045455,2.464801695,-1.050306504,-0.759194226,-0.410814828,-0.662834347,1.259945233,1.681256528,0.736226448,-0.003987638,0.148982668,-0.593888333,1.356469589,-0.405962009,-0.538370082,-0.065092315,0.114136517,-0.216759883,-0.758520378,-1.346825336,0.23365202,-0.438451754,-1.499187404,-0.269185826,-0.624597811,-0.622856796,-0.137793159,-0.815596865,0.053240998,1.799518954,0.302576079,0.245210507,-0.811466758,-0.344131142,-0.810067278,0.616305571,0.149176431,-0.500811557,-1.5810607,-0.110444557,-0.384412348,0.598516474,0.924463732,-0.914158655,-0.249873061,0.654794707,0.216880405,-0.828833291,-0.375235009,-0.626016167,1.734179774,-0.623003552,0.454148361,0.628099241,0.340874484,-0.246419053,0.170340185,0.20868605,0.284337407,0.885639757,-1.786091751,-1.12188419,3.579802022,2.156678877,-1.132858586,0.589781033,-0.835653652,-0.705658395,-0.790374272,0.44437073,0.099599469,-0.9513759,0.161420396,-1.405175809,1.057625894,-0.417060297,0.857320942,-0.191692329,0.678233516,1.591537744,-0.315596251,1.579912839,1.319169009
CHEMBL3897350,12.71689827,-0.456297478,0.117043411,-0.887136503,-0.808331124,0.108933018,-0.295192179,-0.101985583,2.26525059,1.886407361,0.139904519,-0.905035762,0.089894408,-0.944311838,-0.490745747,0.801104442,-0.329007926,-0.248537356,0.336248086,1.744731913,0.312290073,-1.576624092,0.340896342,0.615702427,0.120100503,0.182253291,1.873628107,0.420649845,2.024335454,0.146483494,0.807813652,1.155485042,0.155797186,1.53435369,-0.75092092,-1.288420107,0.585795973,-0.26442234,-0.251025605,-0.027500588,0.210265093,-0.588264396,-0.08402441,-0.874927967,-0.152441393,-0.274988896,-0.046593634,-0.745530065,0.428302846,-0.64109789,-1.151194613,0.637995891,0.858418767,0.118883619,-0.383184273,-0.570794885,0.017978619,0.127932043,-0.443463767,-0.307287754,-0.199457923,0.415047312,-0.336813004,0.303092597,-0.753373014,1.563339815,1.640501291,-0.076029626,-0.109872451,0.814176042,0.03576618,0.540087821,-0.705658395,-0.790374272,-0.496548057,-1.873003272,0.163808859,-1.206937102,1.056898818,-1.694763018,-0.417060297,-0.629914857,-1.331390355,-1.258730324,0.265030924,-0.315596251,-0.499087154,-0.787635709
CHEMBL3298922,10.97643209,-1.854969497,-1.59086378,2.896747479,4.112876089,4.41650011,-1.655568307,6.957736828,2.553292954,1.937456743,8.25387745,-2.464753252,-1.633296525,-0.686867675,-0.205814171,-0.157898166,1.790035329,-1.752916906,6.910108929,2.935915562,-1.205443445,-1.063999865,3.094167658,0.615702427,-0.906747584,2.289601172,-0.487996323,-0.101545887,0.221153207,-0.730953853,1.481070334,-0.330409061,-0.868104651,-0.539204078,-1.632780331,-1.210810537,-1.533847691,-0.304127177,-0.260657212,-0.756986204,0.741700425,-0.02774674,1.621013917,-0.231562589,-1.293991758,0.925139287,1.547749919,-0.002822298,1.139310234,-0.573522692,-0.434978009,0.740300783,2.035571365,-0.625502886,0.567476758,-0.950306451,-0.362604545,1.029291183,-0.594034682,-1.148721232,0.853748007,0.346234404,-1.210829958,-0.331978967,0.546902936,2.424622217,0.1974641,-0.32280166,0.629383015,1.616212521,-1.600496746,-0.104147382,1.588773259,-0.790374272,-1.525386494,-0.001759566,0.841604038,0.445299904,2.304264829,-0.934858474,-0.417060297,-0.629914857,-0.191692329,-1.742971284,-1.945813775,-0.315596251,-0.499087154,-0.787635709
CHEMBL3682563,17.89005249,1.330685101,1.1216947,-0.65141914,-1.027821587,-0.700760045,1.209069885,-0.804445525,-0.831204817,-0.308716064,-0.598263031,1.453939945,1.888416094,0.31430407,-0.13853866,0.43284744,-0.564457177,1.72375958,-1.042142091,-0.73690069,0.550205057,0.267024445,-0.217385058,-0.751151891,-0.580764064,0.679107669,0.222142492,-0.777328599,0.3635097,-0.385296716,-0.496621169,-0.027726929,-0.421788466,0.08017032,1.28184837,1.057550188,-0.285034316,-0.882053134,-2.138820627,0.251554201,-0.246530446,-0.747964958,-1.526202662,-2.594753467,-0.423511881,-1.340985105,-0.843765411,0.054309069,-0.627766868,1.17394821,2.573131729,-0.487357922,-1.953667997,-1.209461266,-1.649010103,0.857954541,-1.844875816,0.137793157,-0.710936267,-0.234057196,-0.890424843,-0.124221192,0.773399417,-0.585174028,-0.01615544,-1.143547736,-0.926043428,0.092795462,-0.915289247,-0.985278984,0.450603429,-0.835653652,-0.705658395,-0.790374272,0.44437073,-0.070477555,-0.403091541,-0.076623165,-0.649907108,0.213300067,-0.417060297,0.857320942,-0.191692329,0.193992556,1.149368804,-0.315596251,1.579912839,1.319169009
