Molecule ChEMBL ID,PMI1,LabuteASA,GETAWAY_1,GETAWAY_8,GETAWAY_14,GETAWAY_18,GETAWAY_29,GETAWAY_33,GETAWAY_48,GETAWAY_84,GETAWAY_95,GETAWAY_97,GETAWAY_98,GETAWAY_135,GETAWAY_139,GETAWAY_145,GETAWAY_156,GETAWAY_161,GETAWAY_162,GETAWAY_174,GETAWAY_177,GETAWAY_186,GETAWAY_189,GETAWAY_193,GETAWAY_199,GETAWAY_202,GETAWAY_203,GETAWAY_214,GETAWAY_217,GETAWAY_247,GETAWAY_249,GETAWAY_251,GETAWAY_270,WHIM_9,WHIM_10,WHIM_11,WHIM_32,WHIM_41,WHIM_75,WHIM_77,MORSE_9,MORSE_10,MORSE_11,MORSE_25,MORSE_30,MORSE_43,MORSE_60,MORSE_62,MORSE_73,MORSE_74,MORSE_84,MORSE_89,MORSE_195,MORSE_196,MORSE_199,MORSE_201,MORSE_203,MORSE_205,MORSE_217,MORSE_218,RDF_0,RDF_16,RDF_19,RDF_20,RDF_25,RDF_33,RDF_35,RDF_38,RDF_40,RDF_44,RDF_56,RDF_65,RDF_67,RDF_72,RDF_80,RDF_183,RDF_191,RDF_194,RDF_195,RDF_196,AUTOCORR3D_8,AUTOCORR3D_15,AUTOCORR3D_17,AUTOCORR3D_26,AUTOCORR3D_63,AUTOCORR3D_65,AUTOCORR3D_67,HOMO,LUMO,Hardness,BalabanJ,PEOE_VSA13,GGI7,JGI6,JGI9,aliphaticRings,HAcceptors,rotatableBonds,ringCount,molLogP,PMI1_is_imputed,LabuteASA_is_imputed,GETAWAY_1_is_imputed,GETAWAY_8_is_imputed,GETAWAY_14_is_imputed,GETAWAY_18_is_imputed,GETAWAY_29_is_imputed,GETAWAY_33_is_imputed,GETAWAY_48_is_imputed,GETAWAY_84_is_imputed,GETAWAY_95_is_imputed,GETAWAY_97_is_imputed,GETAWAY_98_is_imputed,GETAWAY_135_is_imputed,GETAWAY_139_is_imputed,GETAWAY_145_is_imputed,GETAWAY_156_is_imputed,GETAWAY_161_is_imputed,GETAWAY_162_is_imputed,GETAWAY_174_is_imputed,GETAWAY_177_is_imputed,GETAWAY_186_is_imputed,GETAWAY_189_is_imputed,GETAWAY_193_is_imputed,GETAWAY_199_is_imputed,GETAWAY_202_is_imputed,GETAWAY_203_is_imputed,GETAWAY_214_is_imputed,GETAWAY_217_is_imputed,GETAWAY_247_is_imputed,GETAWAY_249_is_imputed,GETAWAY_251_is_imputed,GETAWAY_270_is_imputed,WHIM_9_is_imputed,WHIM_10_is_imputed,WHIM_11_is_imputed,WHIM_32_is_imputed,WHIM_41_is_imputed,WHIM_75_is_imputed,WHIM_77_is_imputed,MORSE_9_is_imputed,MORSE_10_is_imputed,MORSE_11_is_imputed,MORSE_25_is_imputed,MORSE_30_is_imputed,MORSE_43_is_imputed,MORSE_60_is_imputed,MORSE_62_is_imputed,MORSE_73_is_imputed,MORSE_74_is_imputed,MORSE_84_is_imputed,MORSE_89_is_imputed,MORSE_195_is_imputed,MORSE_196_is_imputed,MORSE_199_is_imputed,MORSE_201_is_imputed,MORSE_203_is_imputed,MORSE_205_is_imputed,MORSE_217_is_imputed,MORSE_218_is_imputed,RDF_0_is_imputed,RDF_16_is_imputed,RDF_19_is_imputed,RDF_20_is_imputed,RDF_25_is_imputed,RDF_33_is_imputed,RDF_35_is_imputed,RDF_38_is_imputed,RDF_40_is_imputed,RDF_44_is_imputed,RDF_56_is_imputed,RDF_65_is_imputed,RDF_67_is_imputed,RDF_72_is_imputed,RDF_80_is_imputed,RDF_183_is_imputed,RDF_191_is_imputed,RDF_194_is_imputed,RDF_195_is_imputed,RDF_196_is_imputed,AUTOCORR3D_8_is_imputed,AUTOCORR3D_15_is_imputed,AUTOCORR3D_17_is_imputed,AUTOCORR3D_26_is_imputed,AUTOCORR3D_63_is_imputed,AUTOCORR3D_65_is_imputed,AUTOCORR3D_67_is_imputed,HOMO_is_imputed,LUMO_is_imputed,Hardness_is_imputed,BalabanJ_is_imputed,PEOE_VSA13_is_imputed,GGI7_is_imputed,JGI6_is_imputed,JGI9_is_imputed,aliphaticRings_is_imputed,HAcceptors_is_imputed,rotatableBonds_is_imputed,ringCount_is_imputed,molLogP_is_imputed
CHEMBL3577905,0.369588839,-0.161747546,0.843635683,0.187862623,0.091212992,-0.031110291,-0.853701023,-0.231633042,-0.343152328,0.353571579,1.473134091,0.482765846,-0.096564672,2.010323799,-0.823020327,-0.348294979,0.813456001,-0.708783317,-0.409928729,0.465107473,-0.639946558,-0.40492407,-0.176031572,1.23608467,0.2305464,-0.026234346,-0.092564894,-0.772516716,-1.028667207,0.227940988,0.00468424,-0.605703521,-0.508911408,0.168998031,-0.621356338,-0.421143147,-0.010228531,-0.157441033,0.114207372,-0.450408771,-0.064124702,0.931856841,-0.482508012,-0.511079001,-0.035062469,-0.766753259,0.011701818,-0.007217018,0.107099656,0.145504899,-0.490744441,-0.150685651,-0.144291885,1.024662982,0.468960332,0.204997901,-1.43681355,0.346668261,-0.493603753,-1.370808088,-0.224770569,0.138137363,-0.830584183,-0.221584468,-0.735574412,0.059271461,-0.565586726,-0.290714749,-1.237854208,0.452997087,-0.543809571,-0.492709982,0.208773907,-0.883120264,-0.678132551,-0.473483149,-0.062167889,0.002146291,0.804664331,0.126032956,0.925678018,-0.435894579,0.438813289,0.539083279,-0.142316677,-0.427221669,-0.101119022,-0.564357245,0.385010161,0.988571346,-0.417214993,-1.381074899,0.286237901,-0.433365323,-0.217161591,0.857320942,-1.258730324,-1.503644835,0.26576665,0.851695042,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
CHEMBL497318,-0.045648944,-0.460997041,-0.535370667,0.00839531,-0.049621098,0.725666505,0.150407984,0.318293616,-0.293597848,-1.188888253,-0.471151863,-0.530538877,-0.739891959,1.108495814,0.180882854,0.469990786,-0.578681426,-0.852517981,-0.269785818,-0.0210126,1.071112513,-0.08461487,0.279419724,-0.208775695,0.2305464,1.554039823,0.712454263,0.531589091,0.085769601,0.50106925,1.589249581,-0.881816511,0.320962569,-0.042891257,1.377777014,-0.37262756,0.504345247,1.081422289,-0.754902192,-0.783463618,-1.007855234,0.779399757,-0.074896927,0.073238506,0.706958923,-0.544425027,-1.450652761,1.319988579,0.163273508,-0.044829784,0.320098704,1.32180562,1.642810197,-0.406342409,3.242582917,1.667455502,-2.021948854,-1.59993062,-1.414294675,-0.490877102,-0.549128481,-0.373318679,-0.365098252,-0.924007397,-0.735574412,0.037092398,-0.525920039,-0.492402128,-0.35102545,0.134314662,-0.543809571,-0.5443942,-0.689130208,-0.403490754,-0.743422217,-0.174284442,0.63685684,0.71587906,1.11607839,0.7352061,0.853776664,0.246798798,1.115423912,0.733545752,1.564676541,0.175632347,1.266256551,-0.577388375,0.462273079,1.061150777,0.734958931,-1.381074899,1.393665595,1.259832583,0.885910153,0.857320942,-1.742971284,-1.503644835,-0.787635709,0.615532007,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
CHEMBL3687358,-0.54281636,0.060367068,0.49212426,-0.18128559,-0.03956152,0.452730612,-0.764048433,0.313563392,-0.54137025,-1.333147086,-0.831204817,-0.488317846,-0.382487911,1.250292667,0.686477054,-0.843573206,-0.239135712,-0.133844664,0.290785826,0.390319769,-0.468840651,0.056698013,-0.422423257,-0.208775695,0.2305464,2.285051004,1.311187262,-0.388956184,3.800558964,0.992700124,0.79696691,0.682823765,-0.411718961,-0.548165712,0.020340787,0.692126028,0.274141189,0.96879835,2.842405605,1.118404335,2.719626221,-0.343116114,0.304328985,0.1984494,1.727238337,0.434132335,-0.914456082,1.829776159,2.042288834,0.540449366,-0.014039955,1.099640271,-0.507392548,2.239564403,0.185450161,2.123425077,-0.780784441,0.070788213,-1.185838798,-0.417419276,-0.261766299,0.101596059,0.066327733,0.886082459,1.761614254,0.405077416,1.110124217,0.246446762,0.472124326,0.007834988,0.439720697,1.168127649,-0.223878924,0.005184391,0.771519369,-0.491643139,-0.142829738,-0.100530068,-0.547828593,-0.074019607,-0.488381947,-0.107190361,1.064930582,-0.150374582,0.09282119,0.051261318,2.567379741,-0.216593951,-0.024576395,0.253996248,-0.687192127,-1.381074899,1.522118525,1.26699721,0.459313533,2.344556742,-0.774489364,-1.503644835,1.319169009,1.890259791,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
CHEMBL3235981,-1.170932119,-0.20827844,0.573242281,-0.47310236,0.050974681,2.139970682,0.195234279,0.194392271,-0.3254543,0.237054829,-0.471151863,1.707175718,1.976378809,-0.422910198,1.85356914,-0.176024292,-1.020090854,1.016032644,0.010500004,1.231681433,0.386688885,0.866891872,-1.086934165,2.247486925,-1.25494469,-0.090735333,2.136331898,0.531589091,-0.161883023,-0.099812928,0.638510376,0.682823765,-1.155615003,1.179546943,-0.621356338,1.803351006,-0.457095233,0.757628466,0.390480611,0.666812676,1.382815827,-0.468589642,0.760762568,0.121396542,0.240203531,0.747270691,-1.124060238,0.353150065,1.185637602,-0.556354244,-0.967448927,0.03014661,-0.281535116,0.018575741,0.18607326,0.536986452,0.386140146,0.174830567,-0.725264422,-1.007165798,-0.389530622,-0.860454588,-0.238950303,0.59351606,0.306073313,0.314799258,-1.512215692,-0.459696066,-1.001306577,-1.309109786,2.229045479,-1.306543563,-0.715170392,-0.790347889,0.802504295,-0.116624634,-0.872191126,-1.277477277,-0.434358255,-0.565046978,-1.05560374,-0.739313858,-0.338783995,-0.910546068,0.232826943,-0.508408313,0.300996136,-0.597354785,-0.609857656,0.306053739,-1.447327018,-1.381074899,-0.16424116,-1.642376311,-0.443859385,2.344556742,-0.774489364,-1.945813775,0.26576665,0.567644339,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
CHEMBL3353599,-0.014477074,-0.131453704,0.302848879,-0.856841412,-0.2306935,-0.986385919,-0.602673771,-0.562443529,-0.881172401,0.636540829,0.609007,-0.150549606,-0.739891959,-0.751878897,-0.336367696,0.685329145,-0.578681426,-0.133844664,0.430928737,-0.039709526,-0.19995994,-0.649866399,1.97429586,0.658140524,1.344664717,-1.778511146,-0.681235153,-0.925940928,0.209595914,-0.937406267,-0.153772294,-0.145515205,-0.041640025,-0.743755824,0.723739559,-1.119031682,0.0168543,-1.987580031,-0.593742802,-1.157150517,-0.511422476,-0.048995369,-0.766359742,0.012238327,-1.013453579,-0.390987232,-0.280769098,-1.154239074,-0.825386276,-0.204235081,-0.330357885,-0.403850817,-0.873315695,-0.268124113,-0.56434597,-0.74216833,-0.413976963,0.420952265,0.317208592,0.429690128,0.816702249,-0.720155535,-1.232680771,-1.43781066,-0.735574412,-0.266698289,0.74155458,0.163970607,1.1819471,0.105012434,-0.543809571,1.488004103,1.520427608,-0.358938012,-1.288609377,-0.686274857,-0.279593367,-0.27937539,-0.729840527,-0.996469985,0.638072601,0.297368678,0.166149306,1.440682019,-0.420533237,0.702481845,0.028625228,-0.105669452,0.451550737,0.461222693,1.200263024,-0.025676208,-0.326914155,-0.283010914,-0.662712737,-0.629914857,-0.774489364,0.265030924,-0.787635709,-0.142598839,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
CHEMBL3235980,-1.252904979,-1.16290056,1.492579847,-0.690505853,0.413119485,1.457630948,-1.346790268,-1.17783038,-1.274068639,-0.59520767,0.969059955,1.158302327,0.868426259,0.444886542,-0.57532288,0.577659966,0.134364573,0.44109399,-0.269785818,0.83904599,-0.566615455,-0.649866399,-1.236262459,1.091598633,-0.512199145,-0.628243554,1.114963842,-0.46566829,1.943164283,-0.15443858,0.110321929,1.327087409,-0.770583383,0.560178255,-0.670717655,0.228502361,-0.145642683,0.996954335,-0.288691101,-0.293959376,0.357758426,0.210046755,-0.692558292,0.169554578,-1.043373796,-0.43326091,0.348043371,-0.727951183,-0.199047833,-0.123342841,0.68987882,0.47447731,-0.957754974,0.763093728,-0.555207181,-0.79676268,0.381748494,0.738225508,0.911468571,0.160344764,0.180031547,-0.641817824,-0.475320022,-0.497183333,-0.71063216,-0.980333071,-0.967005338,-1.414452362,-1.089449801,-1.03645007,-0.543809571,-1.035779974,-1.062372842,-0.864785803,-0.681083496,-0.930111326,-1.585599945,-1.180683124,-1.101159574,-0.72998257,-0.304634042,-0.979520787,-1.015394618,-0.928224475,-0.698749797,-0.504953562,-0.708432534,0.350120314,1.869071886,0.920583009,-1.236310091,-1.381074899,-1.60633598,-0.776548841,-0.119525922,0.857320942,-1.258730324,-1.061475895,0.26576665,-1.569061451,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
CHEMBL3682561,-1.363952595,-0.816285769,-0.481291986,-0.149185746,-0.059680676,2.053127443,-1.155531409,-1.195835748,-0.750206989,-0.59520767,-0.25512009,1.411628507,1.583234356,-0.950394491,0.62382417,1.072938192,-0.069362855,1.016032644,0.150642915,-0.843677339,-0.762165063,0.650212119,-0.691214186,-0.353261731,-0.883571917,-0.413240265,2.252053402,-0.388956184,-0.533361959,-0.737112208,-0.206591139,0.866899092,-0.819179607,1.570727166,0.489273302,0.132833985,0.301224019,-0.354532925,1.587664645,-0.063924376,0.935518052,0.079176516,-0.330363484,0.082870113,-0.388121034,-0.235983746,0.430910131,-0.925713607,0.519977464,-0.021037949,0.9438242,0.391811133,-1.526779285,0.55082649,-0.450734202,-0.689861452,0.476691821,0.88187108,0.765421627,1.138740496,0.068183991,-0.292781156,-0.967612393,-0.618921265,0.409052711,0.083949573,-0.624673563,-0.943413976,-0.779509446,-0.761472663,-0.235763813,-0.535651596,-1.055814573,-0.257731785,-0.801703389,-0.724267468,-1.189081061,-0.850829933,-1.116080694,-0.823955898,-0.480392907,-0.448537049,-1.03559195,-0.344837055,-0.442072583,-0.32530652,-0.751680617,0.232500372,1.447246001,0.761274543,-1.190606925,-1.381074899,-0.98692727,0.381539289,-0.278055684,2.344556742,-1.258730324,-1.503644835,1.319169009,-1.93803709,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
CHEMBL3897350,-0.987463172,-0.011259711,1.817051929,-0.213385435,0.010736369,1.668535957,1.961390301,0.743250814,-0.169711647,1.002736329,0.176943455,2.087164989,2.155080833,-0.50798831,1.396057386,-0.348294979,-0.748454283,0.44109399,-0.269785818,0.83904599,0.435576287,0.687895554,-0.997337189,1.958514852,-0.883571917,0.419897477,1.935077108,-0.082107759,-0.038056711,0.118689682,0.585691532,0.222635449,-1.185520372,0.820965071,-0.781780619,1.582305272,-0.186266928,0.743550474,-0.000906478,0.507323876,0.872828591,-0.487478131,0.570014205,-0.658763645,0.297051945,0.539033684,-0.938828658,1.003568701,1.275515764,-0.882302389,-1.176842487,-0.729348888,0.538513767,0.931526295,0.976370844,0.500539385,0.316501098,0.082870551,-1.297548686,-0.841494955,-0.259185201,-0.382851193,0.567608145,0.387599395,0.321878305,0.254978264,-1.406437859,-0.361577882,-1.613812038,-0.174269255,0.236720759,-0.920583309,-0.636278279,-0.883486953,0.461301235,-0.355112361,-0.754823066,-0.935222745,-0.637355311,-0.368124235,-1.127505095,-0.612889158,-0.409474657,-0.857510848,-0.21770439,-0.90397728,-0.033026295,-0.398749966,0.585976494,0.926930259,-1.457138836,-1.381074899,-0.333170809,-1.406440404,-0.801709099,2.344556742,-1.258730324,-1.945813775,0.26576665,1.35402658,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
CHEMBL3298922,-0.546303984,-0.077460275,-0.156819904,0.949504391,-0.321229701,0.713260328,-0.856689443,-0.653691071,0.170090504,0.309184246,-0.183109499,0.187218635,1.082868688,-1.27936319,-0.49081434,0.125449411,-0.578681426,-0.133844664,0.430928737,-0.97455582,-0.44439695,0.753841566,-0.825609651,-0.786719841,-0.140826372,0.108142709,-0.303882423,-0.235531972,-0.533361959,-0.391149742,0.057503085,-0.237552868,-0.897681199,0.006006271,0.89650417,0.045751233,0.991836195,0.250820743,-0.403804951,0.686008921,-1.905839402,-2.08625374,0.952646338,0.792398514,0.11753064,0.706562705,-1.401907608,-0.776293109,-0.71022988,-1.988622733,-0.365999342,-0.2436851,-0.439711761,-0.799127923,-0.047796669,-1.377933266,0.847263572,-0.044665238,1.264453504,0.037915053,0.035059907,0.217941615,-0.182341411,0.574901194,1.072368451,0.857873921,-0.349899114,-0.133583453,-0.072744702,0.082828826,-0.480870725,-0.353599724,-1.160361089,-0.229496715,0.584134337,-0.421300747,-1.021942517,-0.614661193,-0.588751417,-0.468711522,-1.574891298,-1.042733137,-0.762927967,-1.405541455,-0.339760687,-0.700146983,-0.799529561,0.215172166,-0.123835629,-0.360206879,-0.744122574,-0.10550459,-0.783522184,0.455821436,0.320201297,-0.629914857,1.162474476,-0.619306956,0.26576665,-1.404039154,-0.546303984,-0.077460275,-0.156819904,0.949504391,-0.321229701,0.713260328,-0.856689443,-0.653691071,0.170090504,0.309184246,-0.183109499,0.187218635,1.082868688,-1.27936319,-0.49081434,0.125449411,-0.578681426,-0.133844664,0.430928737,-0.97455582,-0.44439695,0.753841566,-0.825609651,-0.786719841,-0.140826372,0.108142709,-0.303882423,-0.235531972,-0.533361959,-0.391149742,0.057503085,-0.237552868,-0.897681199,0.006006271,0.89650417,0.045751233,0.991836195,0.250820743,-0.403804951,0.686008921,-1.905839402,-2.08625374,0.952646338,0.792398514,0.11753064,0.706562705,-1.401907608,-0.776293109,-0.71022988,-1.988622733,-0.365999342,-0.2436851,-0.439711761,-0.799127923,-0.047796669,-1.377933266,0.847263572,-0.044665238,1.264453504,0.037915053,0.035059907,0.217941615,-0.182341411,0.574901194,1.072368451,0.857873921,-0.349899114,-0.133583453,-0.072744702,0.082828826,-0.480870725,-0.353599724,-1.160361089,-0.229496715,0.584134337,-0.421300747,-1.021942517,-0.614661193,-0.588751417,-0.468711522,-1.574891298,-1.042733137,-0.762927967,-1.405541455,-0.339760687,-0.700146983,-0.799529561,0.215172166,-0.123835629,-0.360206879,-0.744122574,-0.10550459,-0.783522184,0.455821436,0.320201297,-0.629914857,1.162474476,-0.619306956,0.26576665,-1.404039154
CHEMBL3682563,-0.335426744,0.371050109,-0.562410007,0.336689175,0.071093836,-0.018704114,-0.465206467,1.07985964,0.870932441,1.163640412,0.681017591,-0.108328576,0.868426259,0.768183367,0.043920736,-1.252716089,-0.273090284,-0.277579327,-0.129642907,0.483804398,3.319933007,1.017625613,-0.85547531,-0.353261731,0.2305464,0.812278478,-1.174309386,0.224740666,-1.028667207,0.883448819,0.427234998,-0.053477541,-0.617318369,2.092300798,0.045021446,1.817660379,-0.416470987,1.785321903,-0.277179716,1.537682316,0.069725769,-1.341507633,1.12522819,0.574082083,-1.369504166,-0.016786897,-0.88520899,-1.391553982,-0.294543381,-1.379551748,0.235450244,-0.775848612,1.098659017,0.820836556,0.143910209,0.922196869,-0.783293956,0.094952889,-0.732589661,-1.364035381,-0.663557134,-0.240474541,-0.241315577,0.768957059,1.669006882,1.069668354,-0.266020598,0.916447022,1.551968754,0.301353918,0.848379961,-0.845499768,-0.900152141,-0.541549248,1.522534969,-0.103850147,-1.029517118,0.016776876,-0.08705633,-0.549909674,-0.991691426,0.385865967,0.267135967,-0.645369968,0.821569083,0.78712324,-0.256628088,-0.155775347,-0.269535358,-0.000596242,-0.760550406,-0.10550459,-0.116997041,0.626323163,0.889677515,-0.629914857,1.162474476,-0.619306956,0.26576665,-0.345558724,-0.335426744,0.371050109,-0.562410007,0.336689175,0.071093836,-0.018704114,-0.465206467,1.07985964,0.870932441,1.163640412,0.681017591,-0.108328576,0.868426259,0.768183367,0.043920736,-1.252716089,-0.273090284,-0.277579327,-0.129642907,0.483804398,3.319933007,1.017625613,-0.85547531,-0.353261731,0.2305464,0.812278478,-1.174309386,0.224740666,-1.028667207,0.883448819,0.427234998,-0.053477541,-0.617318369,2.092300798,0.045021446,1.817660379,-0.416470987,1.785321903,-0.277179716,1.537682316,0.069725769,-1.341507633,1.12522819,0.574082083,-1.369504166,-0.016786897,-0.88520899,-1.391553982,-0.294543381,-1.379551748,0.235450244,-0.775848612,1.098659017,0.820836556,0.143910209,0.922196869,-0.783293956,0.094952889,-0.732589661,-1.364035381,-0.663557134,-0.240474541,-0.241315577,0.768957059,1.669006882,1.069668354,-0.266020598,0.916447022,1.551968754,0.301353918,0.848379961,-0.845499768,-0.900152141,-0.541549248,1.522534969,-0.103850147,-1.029517118,0.016776876,-0.08705633,-0.549909674,-0.991691426,0.385865967,0.267135967,-0.645369968,0.821569083,0.78712324,-0.256628088,-0.155775347,-0.269535358,-0.000596242,-0.760550406,-0.10550459,-0.116997041,0.626323163,0.889677515,-0.629914857,1.162474476,-0.619306956,0.26576665,-0.345558724
