fold,accuracy,precision,recall,f1_score,auc_roc
1,0.7291666666666666,0.6987847222222223,0.7291666666666666,0.7094961240310078,0.7646672645765205
2,0.75,0.7025862068965516,0.75,0.725,0.6143719917464624
3,0.7083333333333334,0.7166893526920749,0.7083333333333334,0.6896412037037037,0.7237779473109177
4,0.7083333333333334,0.6849637681159421,0.7083333333333334,0.689954390847248,0.7848552223022881
5,0.6458333333333334,0.5954585537918872,0.6458333333333334,0.6191340106434445,0.7425202883536217
6,0.6666666666666666,0.6212121212121212,0.6666666666666666,0.6416666666666666,0.7339074505741173
7,0.7446808510638298,0.6944513975803087,0.7446808510638298,0.7170212765957448,0.7979896859207205
8,0.5957446808510638,0.5567375886524822,0.5957446808510638,0.5755591925804692,0.7375810738968633
9,0.6808510638297872,0.6638219936092276,0.6808510638297872,0.6626580326857847,0.713461684514316
10,0.6808510638297872,0.6339173967459325,0.6808510638297872,0.6532344723834087,0.691554644186223
