fold,mae,mse,rmse,r2
1,0.69721276,0.7387869,0.8595271,0.4121605157852173
2,0.75866526,0.8722124,0.9339231,0.2990265488624573
3,0.81094235,1.18879,1.0903164,-0.2759213447570801
4,0.6187437,0.62466854,0.79035974,0.4659159779548645
5,0.71080136,0.7619789,0.872914,0.3968106508255005
6,0.6647264,0.78830284,0.8878642,0.40163445472717285
7,0.8233946,0.9471341,0.9732081,0.3435825705528259
8,0.66773045,0.69726354,0.8350231,0.34484899044036865
9,0.83586055,1.204753,1.0976124,0.09239339828491211
10,0.73140925,0.8154744,0.9030362,0.5036029815673828
