fold,accuracy,precision,recall,f1_score,auc_roc
1,0.7291666666666666,0.6791666666666667,0.7291666666666666,0.701697232947233,0.7552273318758497
2,0.7708333333333334,0.7278645833333334,0.7708333333333334,0.7423234811165846,0.715648895927178
3,0.7083333333333334,0.6762152777777777,0.7083333333333334,0.6878294573643412,0.7635124884973644
4,0.7291666666666666,0.6828869047619047,0.7291666666666666,0.7052469135802468,0.8104833684386014
5,0.6666666666666666,0.6155202821869489,0.6666666666666666,0.6395742622157717,0.7247647414314081
6,0.6875,0.6355820105820106,0.6875,0.6600145137880987,0.7664119830786498
7,0.7446808510638298,0.6944513975803087,0.7446808510638298,0.7170212765957448,0.7732982215740837
8,0.6382978723404256,0.6121261177921677,0.6382978723404256,0.6212064984331189,0.7337867395762133
9,0.6382978723404256,0.5971631205673759,0.6382978723404256,0.6170212765957447,0.6728366370471633
10,0.6170212765957447,0.5701621073961499,0.6170212765957447,0.5726378403111416,0.7040677451203767
