hidden_dim,dropout,lr,mean_r2,std_r2
256,0.0,0.001,0.1681189715862274,0.12275471725812433
256,0.4,0.001,0.13961777687072754,0.06767085051966948
128,0.2,0.001,0.13618831038475038,0.09101316621245863
64,0.2,0.001,0.09584813714027404,0.12873376563682046
256,0.2,0.0005,0.09330902695655822,0.21815209665830163
256,0.0,0.0005,0.09281486868858338,0.11310820835249487
128,0.0,0.001,0.08861339688301087,0.18063040007257972
64,0.0,0.001,0.08604128956794739,0.1295120921315985
64,0.4,0.001,0.0856118381023407,0.15046749329226017
256,0.4,0.0005,0.07478699684143067,0.20565036941724807
128,0.4,0.001,0.07459213137626648,0.23458733983412242
256,0.2,0.001,0.07372007369995118,0.34860429001499255
128,0.4,0.0005,0.06874647140502929,0.14989202102933422
128,0.0,0.0005,0.06089169383049011,0.16318152762206678
128,0.2,0.0005,0.05598205327987671,0.15691263073005926
64,0.4,0.0005,0.028663820028305052,0.14919909275218138
64,0.2,0.0005,0.01934199929237366,0.15166872838799375
256,0.2,0.0001,0.012376368045806885,0.133029160331704
64,0.0,0.0005,0.011905813217163086,0.1683259019090951
256,0.4,0.0001,0.0035558462142944334,0.14522751269738465
128,0.2,0.0001,0.0018779397010803222,0.13886389491688866
256,0.0,0.0001,0.0015802860260009765,0.15499129343240559
128,0.4,0.0001,0.0009612977504730224,0.1392012539681544
128,0.0,0.0001,-0.0009598851203918457,0.15280573981148965
64,0.4,0.0001,-0.0012652158737182617,0.12958659274060794
64,0.2,0.0001,-0.014608073234558105,0.1443828271546643
64,0.0,0.0001,-0.01474621295928955,0.1640327637773288
