fold,mse,mae,r2
1,1.2745180130004883,0.8715718388557434,-0.014111161231994629
2,0.9547479748725891,0.74993896484375,0.23269492387771606
3,1.4247878789901733,0.9436664581298828,-0.5292164087295532
4,0.7260432243347168,0.6992378234863281,0.37924182415008545
5,1.2238702774047852,0.8389756083488464,0.031173348426818848
6,0.9306365847587585,0.7404734492301941,0.29359525442123413
7,0.9893890023231506,0.8125933408737183,0.31429749727249146
8,0.8370921611785889,0.7032161355018616,0.21346557140350342
9,1.264609456062317,0.8563283681869507,0.04730027914047241
10,1.4492850303649902,1.0045082569122314,0.11778861284255981
