fold,accuracy,precision,recall,f1_score,auc_roc
1,0.7083333333333334,0.7395833333333334,0.7083333333333334,0.71191534914361,0.8593145298831929
2,0.7291666666666666,0.7148407148407149,0.7291666666666666,0.7064353813559322,0.8599160121543666
3,0.6666666666666666,0.757011217948718,0.6666666666666666,0.6785714285714285,0.7897952331104175
4,0.7708333333333334,0.7378472222222222,0.7708333333333334,0.7495736434108528,0.6622380286022148
5,0.6875,0.680324074074074,0.6875,0.652105734767025,0.8399432357765692
6,0.6666666666666666,0.7050189393939394,0.6666666666666666,0.6713789682539683,0.8165252956919624
7,0.7446808510638298,0.7136834796409264,0.7446808510638298,0.7158893942742808,0.8348512917478436
8,0.6595744680851063,0.680132259919494,0.6595744680851063,0.6170060245557843,0.8113100934153566
9,0.723404255319149,0.7531509625126647,0.723404255319149,0.7190732486754687,0.7385478848636744
10,0.6170212765957447,0.6267730496453902,0.6170212765957447,0.6213634389926184,0.7989929368876737
