fold,mae,mse,rmse,r2
1,0.70052385,0.70216393,0.83795226,0.44130074977874756
2,0.62956506,0.76776916,0.8762244,0.38296473026275635
3,0.99886346,1.4886538,1.220104,-0.5977634191513062
4,0.75034267,0.8033943,0.89632267,0.31310760974884033
5,0.75584155,0.8329032,0.9126353,0.34066635370254517
6,0.79119855,0.9452458,0.9722375,0.2825060486793518
7,0.7418718,0.85269606,0.9234154,0.40903347730636597
8,0.8236391,1.0841937,1.0412462,-0.01871180534362793
9,0.78609204,1.1192319,1.0579376,0.1568211317062378
10,1.0821289,1.6942292,1.3016256,-0.03131437301635742
