fold,accuracy,precision,recall,f1_score,auc_roc
1,0.75,0.7949074074074073,0.75,0.7325176121616611,0.8347696566389852
2,0.7708333333333334,0.7779773307790548,0.7708333333333334,0.7624334561834561,0.8731307992046045
3,0.7083333333333334,0.7145833333333332,0.7083333333333334,0.7105508870214753,0.8691772143072808
4,0.7916666666666666,0.7955246913580246,0.7916666666666666,0.7913522012578617,0.856644108731223
5,0.7291666666666666,0.7530776515151515,0.7291666666666666,0.7324127906976745,0.8344507087096318
6,0.8125,0.8249627976190476,0.8125,0.8048328108672935,0.8747138344839493
7,0.75,0.7949074074074073,0.75,0.7325176121616611,0.8709073689412468
8,0.7291666666666666,0.7478832442067738,0.7291666666666666,0.7125,0.8537254829148356
9,0.8125,0.8249103942652329,0.8125,0.8088364293085655,0.8541430170286795
10,0.7916666666666666,0.7893032212885154,0.7916666666666666,0.788966049382716,0.8571078022378688
