fold,mae,mse,rmse,r2
1,0.78965336,0.98047143,0.9901876,0.21985644102096558
2,0.70615476,0.8970708,0.94713825,0.27904850244522095
3,0.6807111,0.90078545,0.94909716,0.03319227695465088
4,0.631804,0.6118462,0.782206,0.47687894105911255
5,0.7126096,0.74301165,0.8619812,0.41182535886764526
6,0.7111225,0.82184345,0.90655583,0.3761752247810364
7,0.89422065,1.1384009,1.0669587,0.21102386713027954
8,0.64365804,0.7009194,0.8372093,0.3414139747619629
9,0.7861984,1.0230834,1.0114759,0.2292550802230835
10,0.94014424,1.220377,1.1047068,0.257129967212677
