fold,accuracy,precision,recall,f1_score,auc_roc
1,0.7291666666666666,0.6828869047619047,0.7291666666666666,0.7052469135802468,0.7982841742067391
2,0.7916666666666666,0.7534090909090909,0.7916666666666666,0.7617356264539713,0.6830628323973755
3,0.6875,0.6614130434782609,0.6875,0.6678455473098331,0.7781686989490982
4,0.75,0.7131521739130435,0.75,0.7288165266106442,0.755470318930694
5,0.6458333333333334,0.593154761904762,0.6458333333333334,0.6183398310591294,0.7523536648536648
6,0.6875,0.6263888888888889,0.6875,0.6547619047619048,0.7400457567124233
7,0.6808510638297872,0.6317583126093764,0.6808510638297872,0.6467273710782546,0.7477276873828598
8,0.574468085106383,0.5334346504559271,0.574468085106383,0.5527900441589723,0.7225951241740716
9,0.7021276595744681,0.6671677459142769,0.7021276595744681,0.6820089738022869,0.7619366598313967
10,0.6595744680851063,0.6240492923847116,0.6595744680851063,0.6240759105661738,0.7129452418926103
