fold,mae,mse,rmse,r2
1,0.80601484,1.0422294,1.0208964,0.17071670293807983
2,0.7196455,0.8093998,0.8996665,0.34950733184814453
3,0.7768529,1.109765,1.0534539,-0.19110429286956787
4,0.66624314,0.6936426,0.8328521,0.4069439768791199
5,0.6954066,0.7076163,0.84119934,0.43984460830688477
6,0.6876371,0.927176,0.9628998,0.2962220311164856
7,0.88780946,1.1246674,1.0605034,0.22054195404052734
8,0.7728261,0.9538172,0.97663563,0.10379040241241455
9,0.86067116,1.199859,1.0953808,0.09608030319213867
10,0.8258171,1.0306274,1.0151982,0.3726347088813782
