model_type,problem_type,input_type,accuracy,precision,recall,f1_score
XGBoost,classification,random_forest_elimination,0.8015267175572519,0.774837858003788,0.8015267175572519,0.7823988768974293
XGBoost,classification,Factor_Analysis,0.7862595419847328,0.7336113952939324,0.7862595419847328,0.7505746162234712
XGBoost,classification,genetic_algorithm,0.8080808080808081,0.7890032162420222,0.8080808080808081,0.7966414182428475
XGBoost,classification,PCA,0.8091603053435115,0.7882316656112057,0.8091603053435115,0.7854483550250262
XGBoost,classification,correlation_variance_filter,0.7633587786259542,0.7136565724351984,0.7633587786259542,0.737670972219113
random_forest,classification,Factor_Analysis,0.7709923664122137,0.6870229007633588,0.7709923664122137,0.7239124876730341
random_forest,classification,random_forest_elimination,0.7938931297709924,0.765727963724147,0.7938931297709924,0.7750683528440687
random_forest,classification,genetic_algorithm,0.8080808080808081,0.8030519094690217,0.8080808080808081,0.8040239388708917
random_forest,classification,correlation_variance_filter,0.7557251908396947,0.6756633951290439,0.7557251908396947,0.7075576983170394
random_forest,classification,PCA,0.8015267175572519,0.7885712738887988,0.8015267175572519,0.7912313708722937
SVM,classification,correlation_variance_filter,0.7862595419847328,0.7787262312137279,0.7862595419847328,0.782235635244689
SVM,classification,PCA,0.732824427480916,0.7958726554574072,0.732824427480916,0.7560231756452505
SVM,classification,random_forest_elimination,0.7251908396946565,0.7580128964961358,0.7251908396946565,0.7398609988765293
SVM,classification,genetic_algorithm,0.8282828282828283,0.8275340820795367,0.8282828282828283,0.8277816928979721
SVM,classification,Factor_Analysis,0.7557251908396947,0.7452477174075737,0.7557251908396947,0.7491139585605234
