"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL3985375";"";"";"Small molecule";"";"420.49";"5";"5";"2.85";"85.99";"7";"1";"0";"4";"N";"0.55";"7.91";"None";"3.80";"3.69";"4";"MOL";"-1";"30";"7";"1";"0";"420.1256";"-1.76";"NEUTRAL";"C22H20N4O3S";"Cc1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1";"NNNQVSUPWVEWSZ-UHFFFAOYSA-N";"InChI=1S/C22H20N4O3S/c1-13-7-9-14(10-8-13)16-12-30-21(23-16)24-18(27)11-15-5-4-6-17-19(15)20(28)26(3)22(29)25(17)2/h4-10,12H,11H2,1-3H3,(H,23,24,27)";"False";"-1"
"CHEMBL3956363";"";"";"Small molecule";"";"495.41";"5";"5";"4.22";"85.99";"8";"1";"0";"4";"N";"0.46";"7.91";"None";"5.08";"4.97";"4";"MOL";"-1";"31";"7";"1";"0";"494.0041";"-2.06";"NEUTRAL";"C20H16Cl2N4O3S2";"Cc1sc2c(c1CC(=O)Nc1nc(-c3ccc(Cl)c(Cl)c3)cs1)c(=O)n(C)c(=O)n2C";"QSBZGESBJYBOBP-UHFFFAOYSA-N";"InChI=1S/C20H16Cl2N4O3S2/c1-9-11(16-17(28)25(2)20(29)26(3)18(16)31-9)7-15(27)24-19-23-14(8-30-19)10-4-5-12(21)13(22)6-10/h4-6,8H,7H2,1-3H3,(H,23,24,27)";"False";"-1"
"CHEMBL3927494";"";"";"Small molecule";"";"512.90";"5";"5";"4.12";"99.13";"8";"1";"1";"4";"N";"0.44";"7.91";"None";"4.19";"4.08";"4";"MOL";"-1";"34";"8";"1";"1";"512.0533";"-1.68";"NEUTRAL";"C21H16ClF3N4O4S";"Cc1oc2c(c1CC(=O)Nc1nc(-c3ccc(Cl)c(C(F)(F)F)c3)cs1)c(=O)n(C)c(=O)n2C";"DJDKJQHFJXTIKP-UHFFFAOYSA-N";"InChI=1S/C21H16ClF3N4O4S/c1-9-11(16-17(31)28(2)20(32)29(3)18(16)33-9)7-15(30)27-19-26-14(8-34-19)10-4-5-13(22)12(6-10)21(23,24)25/h4-6,8H,7H2,1-3H3,(H,26,27,30)";"False";"-1"
"CHEMBL3353594";"";"";"Small molecule";"";"538.85";"2";"2";"5.87";"87.57";"4";"1";"2";"6";"N";"0.40";"3.52";"None";"5.80";"2.43";"3";"MOL";"-1";"35";"6";"1";"2";"538.0189";"-1.44";"ACID";"C21H13ClF6N2O4S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1";"TUOBMHOSEHCCIS-UHFFFAOYSA-N";"InChI=1S/C21H13ClF6N2O4S/c22-17-9-15(21(26,27)28)10-29-18(17)30(11-12-1-5-14(6-2-12)20(23,24)25)35(33,34)16-7-3-13(4-8-16)19(31)32/h1-10H,11H2,(H,31,32)";"False";"-1"
"CHEMBL3353603";"";"";"Small molecule";"";"535.93";"2";"2";"5.40";"111.36";"5";"1";"2";"7";"N";"0.43";"3.52";"None";"5.26";"1.89";"3";"MOL";"-1";"36";"7";"1";"2";"535.0580";"-1.42";"ACID";"C24H17ClF3N3O4S";"N#CC1(c2ccc(CN(c3ncc(C(F)(F)F)cc3Cl)S(=O)(=O)c3ccc(C(=O)O)cc3)cc2)CC1";"SNTSFXKELXMDNB-UHFFFAOYSA-N";"InChI=1S/C24H17ClF3N3O4S/c25-20-11-18(24(26,27)28)12-30-21(20)31(36(34,35)19-7-3-16(4-8-19)22(32)33)13-15-1-5-17(6-2-15)23(14-29)9-10-23/h1-8,11-12H,9-10,13H2,(H,32,33)";"False";"-1"
"CHEMBL5283847";"";"";"";"";"255.36";"1";"1";"2.97";"55.40";"3";"1";"0";"3";"Y";"0.84";"10.54";"None";"3.35";"3.35";"0";"MOL";"-1";"18";"4";"1";"0";"255.1834";"0.30";"NEUTRAL";"C14H25NO3";"CCOC(=O)NC(=O)[C@@H]1C[C@H](C)CC[C@H]1C(C)C";"AOTWCRSILVRYCS-GRYCIOLGSA-N";"InChI=1S/C14H25NO3/c1-5-18-14(17)15-13(16)12-8-10(4)6-7-11(12)9(2)3/h9-12H,5-8H2,1-4H3,(H,15,16,17)/t10-,11+,12-/m1/s1";"False";"-1"
"CHEMBL5272743";"";"";"";"";"243.31";"1";"1";"2.75";"47.90";"4";"0";"0";"4";"N";"0.83";"None";"1.82";"2.93";"2.93";"2";"MOL";"-1";"18";"4";"0";"0";"243.1372";"-0.93";"NEUTRAL";"C14H17N3O";"COc1cnc(-c2ccccn2)nc1CC(C)C";"LVVMRLLYLMFZJU-UHFFFAOYSA-N";"InChI=1S/C14H17N3O/c1-10(2)8-12-13(18-3)9-16-14(17-12)11-6-4-5-7-15-11/h4-7,9-10H,8H2,1-3H3";"False";"-1"
"CHEMBL4094500";"";"";"Small molecule";"";"312.44";"1";"1";"4.21";"25.24";"3";"0";"0";"4";"N";"0.71";"None";"None";"4.02";"4.02";"3";"MOL";"-1";"22";"3";"0";"0";"312.1296";"-2.30";"NEUTRAL";"C18H20N2OS";"CCN(Cc1cccs1)C(=O)c1cc2cc(C)ccc2n1C";"JNVZBLNPPQCHQM-UHFFFAOYSA-N";"InChI=1S/C18H20N2OS/c1-4-20(12-15-6-5-9-22-15)18(21)17-11-14-10-13(2)7-8-16(14)19(17)3/h5-11H,4,12H2,1-3H3";"False";"-1"
"CHEMBL3687385";"";"";"Small molecule";"";"544.55";"1";"1";"6.10";"96.80";"5";"1";"2";"8";"N";"0.29";"3.52";"1.29";"7.21";"3.84";"4";"MOL";"-1";"38";"7";"1";"2";"544.1280";"-1.05";"ACID";"C27H23F3N2O5S";"CCc1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C)c2ccccc12";"RMJHNPOUIQHSBJ-UHFFFAOYSA-N";"InChI=1S/C27H23F3N2O5S/c1-3-24-23-7-5-4-6-22(23)17(2)25(31-24)32(16-18-8-12-20(13-9-18)37-27(28,29)30)38(35,36)21-14-10-19(11-15-21)26(33)34/h4-15H,3,16H2,1-2H3,(H,33,34)";"False";"-1"
"CHEMBL3687339";"";"";"Small molecule";"";"533.59";"1";"1";"5.93";"92.50";"5";"1";"2";"7";"N";"0.29";"3.52";"0.72";"5.65";"2.28";"5";"MOL";"-1";"37";"7";"1";"2";"511.1566";"-0.97";"ACID";"C29H24N3NaO4S";"Cc1c(N(Cc2cc3ccccc3n2C2CC2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12.[Na+]";"DIGOAOMAZFWPLP-UHFFFAOYSA-M";"InChI=1S/C29H25N3O4S.Na/c1-19-26-8-4-2-7-22(26)17-30-28(19)31(37(35,36)25-14-10-20(11-15-25)29(33)34)18-24-16-21-6-3-5-9-27(21)32(24)23-12-13-23;/h2-11,14-17,23H,12-13,18H2,1H3,(H,33,34);/q;+1/p-1";"False";"-1"
